lga_code,lga_name,period,number_new_houses,number_new_other_residential_building,number_total_dwellings,value_new_houses_aud000,value_new_other_residential_building_aud000,value_alterations_additions_aud000,value_total_residential_building_aud000,value_non_residential_building_aud000,value_total_building_aud000,id
51120,Bruce Rock (S),2012-2013,1,0,1,181.2,0.0,79.0,260.2,,,1190
51190,Bunbury (C),2014-2015,145,29,174,40212.5,4462.5,6286.2,50961.2,27676.5,78637.7,1191
35800,Paroo (S),2014-2015,1,0,1,200.0,0.0,201.0,401.0,1957.1,2358.0,858
35800,Paroo (S),2013-2014,2,0,2,270.0,0.0,118.5,388.5,254.5,643.0,859
35800,Paroo (S),2012-2013,1,0,2,200.0,0.0,278.7,478.7,1916.5,2395.1,860
37300,Weipa (T),2012-2013,3,0,3,749.4,0.0,1346.6,2096.0,136.0,2232.0,905
37310,Western Downs (R),2014-2015,91,43,134,24386.6,9919.5,6386.7,40692.7,83719.4,124412.1,906
37310,Western Downs (R),2013-2014,336,154,490,90469.6,32162.5,5743.2,128375.4,86795.4,215170.8,907
37310,Western Downs (R),2012-2013,358,134,492,96352.9,24566.0,8057.0,128975.8,132372.5,261348.3,908
37340,Whitsunday (R),2014-2015,96,6,102,32972.6,1530.7,4848.2,39351.5,16426.6,55778.2,909
37340,Whitsunday (R),2013-2014,184,37,221,59603.1,6498.0,6526.9,72628.0,30342.4,102970.4,910
37340,Whitsunday (R),2012-2013,178,16,195,50117.4,3955.0,7370.5,61443.0,61006.3,122449.2,911
37570,Wujal Wujal (S),2014-2015,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,918
51190,Bunbury (C),2013-2014,103,19,122,30392.5,3545.6,5463.6,39401.7,51016.0,90417.8,1192
51190,Bunbury (C),2012-2013,129,4,133,30472.1,580.0,6621.1,37673.1,,,1193
37400,Winton (S),2014-2015,1,0,1,66.0,0.0,509.6,575.6,0.0,575.6,912
51260,Busselton (C),2014-2015,668,20,690,220037.0,3919.2,18609.5,242565.7,39204.3,281770.0,1194
51260,Busselton (C),2013-2014,678,25,705,205370.1,5570.8,12260.1,223201.0,42020.1,265221.1,1195
51260,Busselton (C),2012-2013,447,7,457,136268.0,1193.2,15399.6,152860.8,,,1196
51310,Cambridge (T),2014-2015,122,282,404,89087.4,96433.1,23450.4,208970.9,37032.4,246003.3,1197
51310,Cambridge (T),2013-2014,155,57,213,140694.6,20455.7,28724.3,189874.6,56723.7,246598.3,1198
51310,Cambridge (T),2012-2013,101,131,232,73162.6,52518.0,29051.3,154731.9,,,1199
51330,Canning (C),2014-2015,402,472,880,112804.2,81853.2,15870.3,210527.6,76188.8,286716.5,1200
51330,Canning (C),2013-2014,547,249,805,139290.1,45100.8,14060.9,198451.8,140926.7,339378.4,1201
51330,Canning (C),2012-2013,360,285,648,91727.4,53729.1,15489.4,160945.9,,,1202
51400,Capel (S),2014-2015,218,4,222,51389.4,490.0,2905.4,54784.7,5631.6,60416.3,1203
51400,Capel (S),2013-2014,204,9,213,50006.5,1710.0,4069.3,55785.8,36962.8,92748.6,1204
51400,Capel (S),2012-2013,185,13,198,44228.8,2162.2,2140.5,48531.5,,,1205
37400,Winton (S),2013-2014,1,0,1,190.0,0.0,305.7,495.7,602.6,1098.3,913
51470,Carnamah (S),2014-2015,1,0,1,50.0,0.0,83.0,133.0,198.0,331.0,1206
51470,Carnamah (S),2013-2014,0,0,0,0.0,0.0,0.0,0.0,467.0,467.0,1207
51470,Carnamah (S),2012-2013,1,0,1,366.2,0.0,136.3,502.5,,,1208
51540,Carnarvon (S),2014-2015,13,3,17,5692.1,750.0,584.3,7026.4,23203.1,30229.4,1209
51540,Carnarvon (S),2013-2014,8,2,10,2214.3,463.0,530.0,3207.3,4912.4,8119.7,1210
51540,Carnarvon (S),2012-2013,26,0,26,8402.6,0.0,1038.8,9441.4,,,1211
51610,Chapman Valley (S),2014-2015,27,0,28,10114.7,0.0,833.2,10947.9,627.8,11575.8,1212
51610,Chapman Valley (S),2013-2014,18,0,18,6266.3,0.0,668.5,6934.8,170.6,7105.3,1213
51610,Chapman Valley (S),2012-2013,6,0,6,1397.2,0.0,319.7,1716.8,,,1214
37400,Winton (S),2012-2013,2,0,2,935.9,0.0,399.5,1335.5,72.8,1408.3,914
37550,Woorabinda (S),2014-2015,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,915
