yr,num_bsns_num_non_emply_bsns_num,num_bsns_1_4_emplys_num,num_bsns_5_19_emplys_num,num_bsns_20_pls_emplys_num,num_bsns_tot_num_bsns_num,bsns_entries_num_non_emply_bsns_entries_num,bsns_entries_1_4_emplys_num,bsns_entries_5_19_emplys_num,bsns_entries_20_pls_emplys_num,bsns_entries_tot_num_bsns_entries_num,bsns_exits_num_non_emply_bsns_exits_num,bsns_exits_1_4_emplys_num,bsns_exits_5_19_emplys_num,bsns_exits_20_pls_emplys_num,bsns_exits_tot_num_bsns_exits_num,num_bsns_by_industry_agri_frsty_fish_num,num_bsns_by_industry_mining_num,num_bsns_by_industry_manu_num,num_bsns_by_industry_elec_gas_water_wst_num,num_bsns_by_industry_cons_num,num_bsns_by_industry_whsl_trade_num,num_bsns_by_industry_rtl_trade_num,num_bsns_by_industry_accom_food_num,num_bsns_by_industry_trns_pstl_whse_num,num_bsns_by_industry_info_med_coms_num,num_bsns_by_industry_fin_insur_num,num_bsns_by_industry_rent_hiring_rlst_num,num_bsns_by_industry_pro_sci_tech_num,num_bsns_by_industry_admt_supp_num,num_bsns_by_industry_pub_admt_safety_num,num_bsns_by_industry_edu_training_num,num_bsns_by_industry_hlth_care_soc_asst_num,num_bsns_by_industry_arts_rec_num,num_bsns_by_industry_oth_num,num_bsns_by_industry_currly_unk_num,num_bsns_by_industry_tot_num,bld_approvals_priv_sector_houses_num,bld_approvals_priv_sector_dwl_excluding_houses_num,bld_approvals_tot_priv_sector_dwl_units_num,bld_approvals_tot_dwl_units_num,bld_approvals_value_priv_sector_houses_audm,bld_approvals_value_priv_sector_dwl_excluding_houses_audm,bld_approvals_value_tot_priv_sectors_dwl_units_audm,bld_approvals_value_tot_resial_bld_audm,bld_approvals_value_tot_non_resial_bld_audm,bld_approvals_value_tot_bld_audm,resial_property_prices_houses_num_trfs_num,resial_property_prices_houses_med_sale_price_aud,resial_property_prices_attached_dwl_num_trfs_num,resial_property_prices_attached_dwl_med_sale_price_aud,avg_hsld_net_worth_avg_hsld_net_worth_aud,patents_trademarks_patent_applicants_num,patents_trademarks_trademark_applicants_num,p_inslv_tot_debt_ent_bsns_rel_p_inslv_num,p_inslv_tot_debt_ent_non_bsns_rel_p_inslv_num,p_inslv_tot_debt_ent_p_inslv_num,slct_caus_p_inslv_bsns_rel_inslv_caus_economic_cond_num,slct_caus_p_inslv_non_bsns_rel_inslv_caus_exc_use_credit_num,slct_caus_p_inslv_non_bsns_rel_inslv_caus_unemp_loss_inc_num,occ_debt_ent_bsns_non_bsns_rel_p_inslv_managers_num,occ_debt_ent_bsns_non_bsns_rel_p_inslv_pros_num,occ_debt_ent_bsns_non_bsns_rel_p_inslv_tech_trades_wrkers_num,occ_debt_ent_bsns_non_bsns_rel_p_inslv_cmty_p_wrkers_num,occ_debt_ent_bsns_non_bsns_rel_p_inslv_clrc_admt_wrkers_num,occ_debt_ent_bsns_non_bsns_rel_p_inslv_sales_wrkers_num,occ_debt_ent_bsns_non_bsns_rel_p_inslv_mach_ops_drivers_num,occ_debt_ent_bsns_non_bsns_rel_p_inslv_labourers_num,occ_debt_ent_bsns_non_bsns_rel_p_inslv_debt_oth_unk_occ_num,regd_mtr_vhcls_num_by_type_vehicle_pax_vehicles_num,regd_mtr_vhcls_num_by_type_vehicle_campervans_num,regd_mtr_vhcls_num_by_type_vehicle_light_comc_vehicles_num,regd_mtr_vhcls_num_by_type_vehicle_light_rigid_trucks_num,regd_mtr_vhcls_num_by_type_vehicle_heavy_rigid_trucks_num,regd_mtr_vhcls_num_by_type_vehicle_articulated_trucks_num,regd_mtr_vhcls_num_by_type_vehicle_nfc_trucks_num,regd_mtr_vhcls_num_by_type_vehicle_buses_num,regd_mtr_vhcls_num_by_type_vehicle_motorcycles_num,regd_mtr_vhcls_num_by_type_fuel_petrol_num,regd_mtr_vhcls_num_by_type_fuel_diesel_num,regd_mtr_vhcls_num_by_type_fuel_lpg_dual_oth_num,regd_mtr_vhcls_num_by_type_fuel_electric_num,regd_mtr_vhcls_yr_manu_less_5_yrs_num,regd_mtr_vhcls_yr_manu_5_10_yrs_num,regd_mtr_vhcls_yr_manu_ov_10_yrs_num,regd_mtr_vhcls_yr_manu_tot_regd_mtr_vhcls_num,tourist_accom_est_est_15_pls_rooms_num,empy_by_industry_agri_frsty_fish_pr100,empy_by_industry_mining_pr100,empy_by_industry_manu_pr100,empy_by_industry_elec_gas_water_wst_pr100,empy_by_industry_cons_pr100,empy_by_industry_whsl_trade_pr100,empy_by_industry_rtl_trade_pr100,empy_by_industry_accom_food_pr100,empy_by_industry_trns_pstl_whse_pr100,empy_by_industry_info_med_coms_pr100,empy_by_industry_fin_insur_pr100,empy_by_industry_rent_hiring_rlst_pr100,empy_by_industry_pro_sci_tech_pr100,empy_by_industry_admt_supp_pr100,empy_by_industry_pub_admt_safety_pr100,empy_by_industry_edu_training_pr100,empy_by_industry_hlth_care_soc_asst_pr100,empy_by_industry_arts_rec_pr100,empy_by_industry_oth_pr100,empy_by_industry_tot_empy_num,gcc_code16,gcc_name16,ogc_fid
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9026.0,2454.0,11480.0,11631.0,2880.0,458.0,3338.0,3459.0,2029.0,5488.0,,,,,,704.0,3086.0,798.0,3194.0,3992.0,301.0,915.0,1148.0,350.0,350.0,568.0,462.0,413.0,365.0,375.0,532.0,577.0,1393446.0,7657.0,396355.0,15654.0,44154.0,12266.0,1134.0,9921.0,93094.0,1512833.0,414021.0,43574.0,105.0,421309.0,550948.0,1001494.0,1973751.0,1037.0,,,,,,,,,,,,,,,,,,,,,1RNSW,Rest of NSW,11
2014,127885.0,61512.0,23582.0,4494.0,217474.0,,,,,,,,,,,46912.0,658.0,7940.0,702.0,33824.0,5748.0,14406.0,10060.0,11749.0,1104.0,13324.0,19229.0,17241.0,6321.0,603.0,2393.0,11021.0,2539.0,9851.0,1846.0,217474.0,10380.0,3206.0,13586.0,13701.0,3211.0,664.0,3875.0,3993.0,2569.0,6562.0,40482.0,370000.0,10161.0,320000.0,681194.0,504.0,2809.0,717.0,3338.0,4055.0,305.0,911.0,1254.0,314.0,334.0,586.0,502.0,362.0,382.0,380.0,608.0,587.0,1411191.0,7972.0,411674.0,16035.0,44512.0,12788.0,1187.0,9870.0,97480.0,1513766.0,454066.0,41270.0,119.0,444324.0,542224.0,1026118.0,2012666.0,1030.0,,,,,,,,,,,,,,,,,,,,,1RNSW,Rest of NSW,12
2015,128074.0,62635.0,22967.0,4274.0,217941.0,14872.0,7099.0,873.0,100.0,22952.0,17121.0,4927.0,1186.0,152.0,23376.0,46176.0,645.0,7912.0,723.0,34263.0,5717.0,14145.0,10143.0,11582.0,1072.0,14042.0,19285.0,17446.0,6304.0,598.0,2441.0,11395.0,2511.0,9964.0,1582.0,217941.0,11024.0,4086.0,15110.0,15223.0,3577.0,894.0,4472.0,4610.0,2371.0,6982.0,46135.0,385000.0,10787.0,332000.0,,528.0,3227.0,576.0,3218.0,3794.0,207.0,903.0,1177.0,308.0,280.0,592.0,494.0,322.0,340.0,355.0,567.0,536.0,1445021.0,8456.0,427688.0,17000.0,44906.0,13116.0,1114.0,10029.0,101797.0,1530721.0,496073.0,38431.0,130.0,455940.0,546239.0,1066760.0,2068939.0,1056.0,,,,,,,,,,,,,,,,,,,,,1RNSW,Rest of NSW,13
2016,129870.0,63954.0,22995.0,4275.0,221085.0,16528.0,7895.0,900.0,72.0,25404.0,16919.0,5307.0,1173.0,167.0,23568.0,45944.0,640.0,7928.0,758.0,35438.0,5708.0,13883.0,10268.0,11507.0,1131.0,14839.0,19580.0,17774.0,6556.0,561.0,2480.0,11783.0,2540.0,10128.0,1637.0,221085.0,11604.0,4914.0,16518.0,16779.0,3805.0,1140.0,4946.0,5141.0,3157.0,8299.0,48101.0,417000.0,11521.0,360000.0,763347.0,,,597.0,3043.0,3640.0,189.0,906.0,1109.0,323.0,270.0,561.0,460.0,343.0,317.0,332.0,553.0,481.0,1468394.0,8977.0,442049.0,17676.0,45665.0,13645.0,1186.0,10279.0,104937.0,1534216.0,539091.0,35297.0,188.0,474785.0,549772.0,1087942.0,2112499.0,1046.0,5.7,2.4,6.0,1.3,8.7,2.0,10.3,7.9,4.0,0.9,2.0,1.4,4.5,3.3,7.2,9.0,14.4,1.2,3.9,1104163.0,1RNSW,Rest of NSW,14
2017,132707.0,65388.0,23523.0,4523.0,226138.0,17697.0,8179.0,916.0,72.0,26858.0,16509.0,5055.0,1151.0,124.0,22843.0,46125.0,635.0,8074.0,780.0,37053.0,5756.0,13767.0,10320.0,11765.0,1195.0,15477.0,19849.0,18441.0,6803.0,578.0,2575.0,12313.0,2586.0,10412.0,1630.0,226138.0,11272.0,4092.0,15364.0,15432.0,3925.0,931.0,4855.0,5002.0,3038.0,8040.0,,,,,,,,580.0,2964.0,3544.0,168.0,978.0,1011.0,295.0,241.0,527.0,493.0,371.0,321.0,361.0,504.0,431.0,1488997.0,9384.0,458718.0,18248.0,46796.0,14207.0,1099.0,10488.0,108407.0,1536367.0,589989.0,31713.0,242.0,477265.0,563083.0,1115930.0,2156278.0,,,,,,,,,,,,,,,,,,,,,,1RNSW,Rest of NSW,15
2018,136923.0,67423.0,22715.0,4378.0,231438.0,18894.0,7936.0,870.0,93.0,27797.0,17431.0,5487.0,1234.0,150.0,24303.0,46292.0,645.0,8168.0,802.0,38626.0,5806.0,13622.0,10307.0,12397.0,1245.0,16129.0,20086.0,19068.0,7126.0,585.0,2730.0,12839.0,2643.0,10753.0,1572.0,231438.0,11273.0,5870.0,17143.0,17339.0,4188.0,1618.0,5806.0,6036.0,3227.0,9264.0,,,,,,,,535.0,3228.0,3756.0,133.0,1176.0,1023.0,319.0,305.0,538.0,583.0,363.0,293.0,363.0,571.0,438.0,1509584.0,10146.0,476604.0,19219.0,47903.0,14247.0,969.0,10544.0,111102.0,1535529.0,637800.0,27895.0,280.0,484704.0,581153.0,1134436.0,2200238.0,,,,,,,,,,,,,,,,,,,,,,1RNSW,Rest of NSW,16
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2124.0,14226.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.2,10.8,1.0,8.2,5.0,10.6,5.9,4.8,2.3,4.8,1.5,8.9,3.5,5.1,7.9,11.1,1.8,3.6,1927928.0,2GMEL,Greater Melbourne,17
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2291.0,14350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346.0,,,,,,,,,,,,,,,,,,,,,2GMEL,Greater Melbourne,18
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18330.0,20295.0,38625.0,38843.0,6438.0,5114.0,11552.0,11819.0,6421.0,18241.0,,,,,,2235.0,15218.0,952.0,3525.0,4477.0,336.0,1096.0,1095.0,503.0,501.0,676.0,401.0,626.0,426.0,390.0,503.0,451.0,2582068.0,6418.0,332536.0,20409.0,44155.0,11128.0,4441.0,12095.0,108159.0,2589196.0,374940.0,155615.0,1113.0,820627.0,907624.0,1392754.0,3121005.0,348.0,,,,,,,,,,,,,,,,,,,,,2GMEL,Greater Melbourne,19
2014,252435.0,113391.0,36044.0,9874.0,411737.0,,,,,,,,,,,7977.0,561.0,18044.0,1151.0,68225.0,18848.0,27444.0,16993.0,25970.0,4609.0,38998.0,47416.0,59196.0,16604.0,1407.0,5810.0,23797.0,5826.0,16492.0,6368.0,411737.0,20639.0,23661.0,44300.0,44600.0,7337.0,6158.0,13495.0,13799.0,7282.0,21081.0,62220.0,547500.0,29734.0,458000.0,901475.0,1769.0,15217.0,878.0,3477.0,4355.0,308.0,1038.0,1073.0,486.0,421.0,679.0,397.0,582.0,406.0,397.0,500.0,487.0,2635787.0,6514.0,343931.0,20854.0,44301.0,10972.0,4533.0,12179.0,111508.0,2619664.0,422662.0,146802.0,1039.0,852848.0,917560.0,1419668.0,3190076.0,348.0,,,,,,,,,,,,,,,,,,,,,2GMEL,Greater Melbourne,20
2015,258250.0,116156.0,35639.0,9943.0,419983.0,43348.0,16659.0,1706.0,234.0,61955.0,40100.0,10743.0,2011.0,403.0,53258.0,7573.0,546.0,18007.0,1152.0,70281.0,19218.0,27067.0,17443.0,26401.0,4790.0,41405.0,48546.0,60346.0,16998.0,1461.0,6033.0,24861.0,5861.0,16749.0,5240.0,419983.0,23063.0,33412.0,56475.0,56702.0,8400.0,8525.0,16925.0,17202.0,7541.0,24743.0,63388.0,555000.0,41305.0,485000.0,,1740.0,16141.0,760.0,3486.0,4246.0,217.0,1140.0,1028.0,462.0,426.0,654.0,381.0,572.0,373.0,421.0,500.0,457.0,2690428.0,6880.0,354684.0,21143.0,44857.0,11141.0,4615.0,12427.0,114433.0,2649870.0,472573.0,136777.0,1031.0,862544.0,945948.0,1451050.0,3259542.0,375.0,,,,,,,,,,,,,,,,,,,,,2GMEL,Greater Melbourne,21
2016,268817.0,118944.0,36274.0,10132.0,434168.0,48513.0,17953.0,1806.0,248.0,68519.0,40460.0,10839.0,1979.0,413.0,53686.0,7196.0,534.0,18060.0,1197.0,73427.0,19660.0,26967.0,18220.0,28275.0,4886.0,43669.0,49964.0,62184.0,17646.0,1444.0,6317.0,26119.0,5975.0,17173.0,5260.0,434168.0,25868.0,31214.0,57082.0,57228.0,9719.0,8954.0,18672.0,18949.0,7546.0,26496.0,61971.0,610500.0,38310.0,500000.0,963078.0,,,819.0,3548.0,4367.0,255.0,1196.0,1055.0,476.0,402.0,647.0,486.0,616.0,403.0,430.0,461.0,446.0,2756712.0,7136.0,362058.0,21563.0,45109.0,11282.0,4724.0,12760.0,118957.0,2694586.0,517266.0,126733.0,1203.0,901545.0,952478.0,1484574.0,3338597.0,371.0,0.6,0.2,7.7,1.0,8.2,3.5,10.1,6.5,5.0,2.2,4.5,1.7,9.0,3.6,5.0,8.6,12.0,2.1,3.6,2115493.0,2GMEL,Greater Melbourne,22
2017,284787.0,120531.0,37306.0,10664.0,453287.0,54654.0,17370.0,1627.0,249.0,73913.0,41209.0,10906.0,1925.0,348.0,54390.0,6931.0,533.0,18105.0,1288.0,76840.0,20123.0,26981.0,18849.0,33824.0,5140.0,45751.0,51484.0,64187.0,18595.0,1541.0,6701.0,27294.0,6236.0,17836.0,5053.0,453287.0,26314.0,28807.0,55121.0,55297.0,10355.0,8866.0,19221.0,19534.0,10707.0,30241.0,,,,,,,,831.0,3446.0,4277.0,225.0,1281.0,995.0,475.0,409.0,620.0,498.0,600.0,380.0,417.0,456.0,422.0,2826996.0,7417.0,376596.0,22758.0,47181.0,11495.0,4811.0,12981.0,121536.0,2741665.0,580865.0,119154.0,2294.0,932861.0,970445.0,1526761.0,3430067.0,,,,,,,,,,,,,,,,,,,,,,2GMEL,Greater Melbourne,23
2018,307245.0,124784.0,35951.0,10265.0,478240.0,65613.0,17576.0,1684.0,232.0,85107.0,45145.0,11453.0,2155.0,401.0,59151.0,6695.0,556.0,18193.0,1384.0,80839.0,20511.0,27126.0,19436.0,42662.0,5338.0,48085.0,53378.0,66531.0,20103.0,1676.0,7011.0,28616.0,6519.0,18653.0,4927.0,478240.0,28241.0,34550.0,62791.0,63201.0,11686.0,10945.0,22631.0,23053.0,12812.0,35865.0,,,,,,,,798.0,3476.0,4277.0,190.0,1350.0,948.0,473.0,444.0,638.0,459.0,594.0,396.0,428.0,497.0,345.0,2892445.0,7636.0,392730.0,24792.0,48530.0,11949.0,5055.0,13427.0,122670.0,2783210.0,637229.0,108793.0,2897.0,954029.0,996701.0,1566706.0,3517446.0,,,,,,,,,,,,,,,,,,,,,,2GMEL,Greater Melbourne,24
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248.0,1271.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,0.8,10.4,1.5,8.9,3.1,11.6,6.8,4.1,1.1,2.0,1.0,4.0,2.6,6.1,8.2,13.1,1.3,3.6,600187.0,2RVIC,Rest of Vic.,25
