gccsa_code_2011,gccsa_name_2011,year,reg_mv_pas_vhcls,reg_mv_campervans,reg_mv_lt_comm_vhcls,reg_mv_lt_rgd_trks,reg_mv_hvy_rgd_trks,reg_mv_artcltd_trks,reg_mv_non_frght_trks,reg_mv_buses,reg_mv_mtrcycls,reg_mv_tot_vhcls,reg_mv_ptrl_fuel,reg_mv_disl_fuel,reg_mv_lpg_dl_oth_fuel,trst_accom_est_wth_15_more_rms,ag_area_hldng_ha,ag_area_brdacr_crps_crl_ha,ag_area_veg_ha,ag_area_orchd_nut_trs_ha,ag_area_all_frt_exc_grp_ha,ag_area_brdacr_crp_non_crl_ha,ag_comm_diary_ctl,ag_comm_meat_ctl,ag_comm_sheep,ag_comm_pigs,ag_grs_val_ag_prod_,ag_grs_val_crps_,ag_grs_val_livstk_slghtr_,ag_grs_val_livstk_prdct_,empl_industry_ag_frst_fsh_pc,empl_industry_mining_pc,empl_industry_mnfctrng_pc,empl_industry_elc_gs_wtr_wst_pc,empl_industry_construction_pc,empl_industry_whlsle_trd_pc,empl_industry_retail_trd_pc,empl_industry_accom_food_pc,empl_industry_trnsprt_pst_wrhsng_pc,empl_industry_infomedia_telecom_pc,empl_industry_financ_insur_pc,empl_industry_rent_rl_est_pc,empl_industry_prof_sci_tech_pc,empl_industry_admin_supp_pc,empl_industry_pub_admin_safety_pc,empl_industry_edu_train_pc,empl_industry_hlth_soc_ass_pc,empl_industry_art_rec_pc,empl_industry_oth_serv_pc,empl_industry_tot,bus_industry_ag_frst_fsh,bus_industry_mining,bus_industry_mnfctrng,bus_industry_elc_gs_wtr_wst,bus_industry_construction,bus_industry_whlsle_trd,bus_industry_retail_trd,bus_industry_accom_food,bus_industry_trnsprt_pst_wrhsng,bus_industry_infomedia_telecom,bus_industry_financ_insur,bus_industry_rent_rl_est,bus_industry_prof_sci_tech,bus_industry_admin_supp,bus_industry_pub_admin_safety,bus_industry_edu_train,bus_industry_hlth_soc_ass,bus_industry_art_rec,bus_industry_oth_serv,bus_industry_current_unkwn,bus_industry_tot
2GMEL ,Greater Melbourne,2010,2432559,5722.0,303863,17417.0,42360,10578.0,4069.0,11142.0,100798,2928508,2501181,258901,168434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2GMEL ,Greater Melbourne,2011,2485285,5932.0,316184,17906.0,43189,11022.0,4116.0,11482.0,103432,2998548,2538651,291820,168112,,,,,,,,,,,,,,,,0.5,0.2,10.8,1.0,8.2,5.0,10.6,5.9,4.8,2.3,4.8,1.5,8.9,3.5,5.1,7.9,11.1,1.9,3.6,1927928.0,9875.0,515.0,19281.0,1083.0,67785.0,18868.0,27973.0,15949.0,26937.0,4323.0,36131.0,45636.0,58164.0,16726.0,1510.0,5491.0,20579.0,5980.0,16443.0,7904.0,407153.0
2GMEL ,Greater Melbourne,2012,2528001,6258.0,326410,18714.0,44251,10991.0,4407.0,11956.0,105473,3056461,2558877,332154,165444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9086.0,528.0,18991.0,1101.0,68985.0,19251.0,28237.0,16428.0,26779.0,4455.0,37076.0,45949.0,59028.0,17056.0,1473.0,5670.0,21612.0,5927.0,16502.0,9409.0,413543.0
2GMEL ,Greater Melbourne,2013,2582113,6413.0,332640,20474.0,44170,11092.0,4493.0,12041.0,108176,3121612,2589419,375046,157162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8349.0,529.0,18226.0,1082.0,66496.0,18544.0,27118.0,16195.0,25372.0,4329.0,37428.0,45592.0,57515.0,16333.0,1409.0,5492.0,22242.0,5716.0,16067.0,9905.0,403939.0
2GMEL ,Greater Melbourne,2014,2635942,6530.0,343946,20812.0,44295,10972.0,4567.0,12208.0,111509,3190781,2619814,422742,148229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7913.0,546.0,17957.0,1137.0,67927.0,18709.0,27497.0,17027.0,25712.0,4509.0,38753.0,46880.0,58684.0,16575.0,1407.0,5732.0,23694.0,5825.0,16436.0,8407.0,411327.0
2RVIC ,Rest of Vic.,2010,820022,4686.0,243146,7392.0,33321,12508.0,1738.0,7179.0,55119,1185111,903871,202018,79225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2RVIC ,Rest of Vic.,2011,831530,4877.0,249053,7631.0,33302,12767.0,1735.0,7249.0,56700,1204844,908620,217260,78966,,,,,,,,,,,,,,,,7.8,0.8,10.4,1.5,8.9,3.1,11.6,6.8,4.1,1.1,2.0,1.1,4.0,2.6,6.1,8.2,13.1,1.3,3.6,600186.0,34847.0,301.0,5197.0,356.0,21372.0,3236.0,8890.0,5750.0,7064.0,549.0,6907.0,10475.0,8712.0,3258.0,306.0,1224.0,4644.0,1436.0,5526.0,1440.0,131490.0
2RVIC ,Rest of Vic.,2012,851216,5078.0,257047,7880.0,33373,13038.0,1697.0,7282.0,58814,1235425,918309,237431,79670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34195.0,295.0,5119.0,371.0,21500.0,3261.0,8860.0,5759.0,6982.0,529.0,7226.0,10642.0,8870.0,3335.0,311.0,1254.0,4802.0,1421.0,5555.0,1837.0,132124.0
2RVIC ,Rest of Vic.,2013,865793,5192.0,264316,9075.0,33233,13283.0,1710.0,7349.0,60664,1260615,922474,260778,77340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33341.0,309.0,4945.0,366.0,20796.0,3160.0,8496.0,5623.0,6766.0,532.0,7387.0,10569.0,8680.0,3247.0,286.0,1221.0,4829.0,1380.0,5463.0,1951.0,129347.0
2RVIC ,Rest of Vic.,2014,879134,5315.0,273282,9234.0,33028,13634.0,1699.0,7352.0,62176,1284854,925249,286110,73490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33468.0,308.0,4876.0,397.0,20905.0,3162.0,8324.0,5767.0,6765.0,538.0,7639.0,10734.0,8769.0,3230.0,287.0,1216.0,5087.0,1367.0,5556.0,1563.0,129958.0
3GBRI ,Greater Brisbane,2010,1192629,4722.0,250443,14164.0,27977,7819.0,3178.0,8318.0,64606,1573856,1319459,225891,28535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3GBRI ,Greater Brisbane,2011,1212832,5049.0,258008,14782.0,27841,7805.0,3285.0,8468.0,65384,1603454,1327031,247124,29300,,,,,,,,,,,,,,,,0.7,1.3,9.3,1.2,8.3,4.1,10.1,6.0,5.8,1.4,3.4,1.7,8.3,3.3,7.5,8.1,12.4,1.3,3.7,1010616.0,6731.0,708.0,8537.0,538.0,34195.0,7188.0,12364.0,6282.0,13029.0,1559.0,15313.0,21315.0,26080.0,8214.0,696.0,2617.0,10281.0,2414.0,8512.0,3604.0,190177.0
3GBRI ,Greater Brisbane,2012,1232816,4749.0,265295,15050.0,27509,7852.0,3321.0,8689.0,68809,1634090,1332177,271739,30175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6338.0,800.0,8272.0,538.0,33167.0,7128.0,12244.0,6357.0,12567.0,1532.0,15863.0,21367.0,26189.0,8271.0,717.0,2647.0,10681.0,2409.0,8351.0,4060.0,189498.0
3GBRI ,Greater Brisbane,2013,1265645,5190.0,276658,15570.0,28314,8173.0,3374.0,9117.0,72591,1684632,1348751,305347,30533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5916.0,747.0,7805.0,497.0,31096.0,6707.0,11533.0,6331.0,11864.0,1463.0,16050.0,20894.0,25377.0,7660.0,678.0,2550.0,10889.0,2258.0,7880.0,4311.0,182506.0
3GBRI ,Greater Brisbane,2014,1283131,5213.0,284272,15676.0,28154,8310.0,3498.0,9215.0,76058,1713527,1350695,332916,29927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5741.0,795.0,7812.0,488.0,30940.0,6783.0,11394.0,6708.0,11912.0,1522.0,16631.0,21279.0,26008.0,7815.0,660.0,2692.0,11513.0,2280.0,8012.0,3533.0,184518.0
3RQLD ,Rest of Qld,2010,1204421,6662.0,384952,15954.0,42558,10994.0,1993.0,11029.0,90528,1769091,1376244,366515,26296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3RQLD ,Rest of Qld,2011,1213710,6916.0,392655,16213.0,42004,11258.0,1962.0,11020.0,91178,1786916,1373537,386839,26513,,,,,,,,,,,,,,,,4.7,3.9,7.6,1.2,9.7,3.2,11.3,7.9,4.8,1.1,2.0,1.9,4.7,3.1,6.0,7.7,11.4,1.5,4.0,1024829.0,36174.0,1101.0,9323.0,587.0,43566.0,6640.0,15666.0,9109.0,12818.0,1398.0,13436.0,26404.0,19170.0,8384.0,731.0,2522.0,9029.0,2704.0,10950.0,3281.0,232993.0
3RQLD ,Rest of Qld,2012,1248907,7361.0,410416,16939.0,42934,11909.0,2032.0,11428.0,95705,1847631,1398189,422052,27378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35537.0,1187.0,9106.0,585.0,42564.0,6642.0,15253.0,9169.0,12697.0,1361.0,13787.0,26157.0,19272.0,8349.0,745.0,2663.0,9296.0,2635.0,11140.0,3919.0,232064.0
3RQLD ,Rest of Qld,2013,1284318,7663.0,431352,17656.0,43807,12667.0,2128.0,11785.0,100956,1912332,1418406,465966,27948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34636.0,1148.0,8686.0,546.0,40364.0,6246.0,14287.0,8969.0,12315.0,1330.0,13921.0,25654.0,18639.0,7712.0,710.0,2552.0,9471.0,2491.0,10842.0,4292.0,224811.0
3RQLD ,Rest of Qld,2014,1301523,7943.0,449400,18381.0,44650,13335.0,2059.0,11945.0,104537,1953773,1418417,508023,27353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35341.0,1104.0,8504.0,564.0,39904.0,6226.0,14139.0,9298.0,12401.0,1372.0,14548.0,26172.0,18787.0,7788.0,728.0,2591.0,10004.0,2478.0,10927.0,3565.0,226441.0
4GADE ,Greater Adelaide,2010,757280,2460.0,94345,4204.0,13281,3342.0,1550.0,3621.0,31850,911933,826783,76183,8972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4GADE ,Greater Adelaide,2011,769144,2431.0,98520,4422.0,13559,3389.0,1541.0,3748.0,32528,929282,834497,85655,9140,,,,,,,,,,,,,,,,1.0,0.8,10.4,1.4,7.6,3.6,11.4,6.1,4.1,1.6,3.4,1.4,6.3,3.5,7.7,8.2,14.2,1.4,4.0,576823.0,4830.0,348.0,5198.0,357.0,17553.0,4271.0,7289.0,3807.0,6997.0,795.0,12274.0,13018.0,12117.0,4181.0,340.0,1222.0,6458.0,1282.0,4768.0,1725.0,108830.0
4GADE ,Greater Adelaide,2012,774937,2390.0,100911,4518.0,13449,3465.0,1598.0,3884.0,33076,938228,833642,95644,8936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4676.0,358.0,5105.0,334.0,17386.0,4264.0,7210.0,3926.0,6743.0,805.0,12317.0,13064.0,12099.0,4300.0,345.0,1206.0,6689.0,1232.0,4763.0,1962.0,108784.0
4GADE ,Greater Adelaide,2013,785207,2323.0,103364,4599.0,13362,3522.0,1581.0,3907.0,34410,952275,836369,107146,8769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4365.0,377.0,4829.0,309.0,16517.0,3989.0,6843.0,3887.0,6353.0,789.0,12217.0,12863.0,11717.0,4068.0,327.0,1150.0,6747.0,1158.0,4498.0,2146.0,105149.0
4GADE ,Greater Adelaide,2014,802863,2358.0,106863,4777.0,13257,3585.0,1595.0,4003.0,35560,974861,846944,119364,8545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4267.0,399.0,4811.0,300.0,16429.0,3976.0,6741.0,4046.0,6371.0,807.0,12701.0,13002.0,11797.0,4137.0,318.0,1193.0,7034.0,1128.0,4520.0,1804.0,105781.0
4RSAU ,Rest of SA,2010,219521,1630.0,72206,1733.0,9947,4470.0,317.0,1466.0,14910,326200,260637,62480,3078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4RSAU ,Rest of SA,2011,222917,1648.0,73880,1750.0,10121,4936.0,322.0,1505.0,15227,332306,262105,67170,3022,,,,,,,,,,,,,,,,14.3,3.0,11.2,1.2,7.1,3.0,10.8,6.8,4.3,0.7,1.4,1.0,2.4,3.1,4.8,7.0,11.5,0.8,3.6,161619.0,14124.0,155.0,1464.0,149.0,4578.0,857.0,2493.0,1434.0,1825.0,69.0,1514.0,2969.0,1511.0,782.0,80.0,166.0,942.0,272.0,1474.0,286.0,37144.0
4RSAU ,Rest of SA,2012,224407,1631.0,75483,1807.0,9945,5025.0,313.0,1569.0,15600,335780,260922,71809,3033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13909.0,161.0,1473.0,157.0,4542.0,845.0,2446.0,1440.0,1782.0,75.0,1581.0,2974.0,1547.0,769.0,71.0,167.0,936.0,267.0,1468.0,402.0,37012.0
4RSAU ,Rest of SA,2013,227153,1669.0,77495,1892.0,9673,4891.0,290.0,1567.0,16090,340720,260395,77229,3095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13473.0,151.0,1379.0,157.0,4306.0,821.0,2347.0,1400.0,1754.0,82.0,1626.0,2935.0,1518.0,715.0,70.0,157.0,942.0,242.0,1435.0,418.0,35928.0
4RSAU ,Rest of SA,2014,231809,1705.0,80643,1938.0,9617,5078.0,271.0,1544.0,16500,349105,261788,84229,3091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13701.0,145.0,1383.0,164.0,4239.0,824.0,2272.0,1404.0,1746.0,75.0,1711.0,2985.0,1536.0,704.0,68.0,151.0,981.0,244.0,1408.0,344.0,36085.0
5GPER ,Greater Perth,2010,1076594,4785.0,193728,8644.0,25899,6420.0,2608.0,8532.0,65762,1392972,1147665,193693,51613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5GPER ,Greater Perth,2011,1098541,4906.0,200965,9212.0,26701,6622.0,2692.0,8789.0,69489,1427917,1164958,212778,50175,,,,,,,,,,,,,,,,0.6,4.8,8.5,1.1,10.0,3.9,10.4,5.8,4.4,1.2,2.9,1.8,8.3,3.3,6.4,8.1,10.9,1.5,3.9,857632.0,5534.0,2476.0,7721.0,461.0,33308.0,6048.0,10819.0,5375.0,11308.0,1231.0,16465.0,18319.0,22673.0,6557.0,549.0,1981.0,7842.0,1950.0,7414.0,3237.0,171268.0
5GPER ,Greater Perth,2012,1124851,5002.0,210258,10011.0,27428,6855.0,2787.0,9237.0,74972,1471401,1187344,235899,48171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5104.0,2574.0,7606.0,494.0,32799.0,6131.0,10682.0,5592.0,11340.0,1270.0,15517.0,18449.0,23219.0,6674.0,568.0,2038.0,8163.0,1943.0,7421.0,3673.0,171257.0
5GPER ,Greater Perth,2013,1160106,4990.0,220890,10813.0,28731,7623.0,2930.0,9804.0,79672,1525559,1215048,264958,45557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4654.0,2472.0,7219.0,490.0,31246.0,5790.0,10067.0,5555.0,11050.0,1220.0,15613.0,18466.0,22601.0,6313.0,554.0,1950.0,8376.0,1869.0,7156.0,3921.0,166582.0
5GPER ,Greater Perth,2014,1206958,5012.0,231691,11593.0,29988,8068.0,3015.0,10067.0,86091,1592483,1254365,295208,42924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4493.0,2455.0,7164.0,507.0,32259.0,5788.0,10052.0,5906.0,11272.0,1262.0,16136.0,18944.0,23044.0,6377.0,574.0,2025.0,8936.0,1897.0,7249.0,3430.0,169770.0
5RWAU ,Rest of WA,2010,260654,2696.0,108634,3622.0,21768,5592.0,1822.0,4678.0,25881,435347,284429,139311,11620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5RWAU ,Rest of WA,2011,264583,2923.0,112437,3804.0,22023,5838.0,1873.0,4717.0,27744,445942,287218,147126,11589,,,,,,,,,,,,,,,,8.9,11.2,7.2,1.3,10.9,2.5,9.2,6.2,4.8,0.6,1.2,1.5,3.2,2.7,5.8,7.7,8.4,0.7,4.0,237325.0,13773.0,455.0,1856.0,160.0,8555.0,1003.0,3290.0,1980.0,2593.0,165.0,2162.0,4129.0,2771.0,1395.0,85.0,392.0,1330.0,363.0,2260.0,579.0,49296.0
5RWAU ,Rest of WA,2012,272394,2996.0,116920,4076.0,22614,6231.0,1911.0,5032.0,29625,461799,293616,156842,11358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13254.0,443.0,1809.0,152.0,8363.0,972.0,3180.0,1966.0,2543.0,167.0,2269.0,4186.0,2776.0,1384.0,83.0,394.0,1351.0,350.0,2236.0,656.0,48534.0
5RWAU ,Rest of WA,2013,278253,3093.0,121347,4370.0,23027,6440.0,1920.0,5210.0,31253,474913,296832,167165,10914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12901.0,408.0,1713.0,140.0,7933.0,917.0,3015.0,1876.0,2510.0,150.0,2341.0,4176.0,2678.0,1307.0,84.0,380.0,1357.0,321.0,2165.0,726.0,47098.0
5RWAU ,Rest of WA,2014,288188,3140.0,127856,4641.0,23284,6758.0,1973.0,5173.0,33517,494530,303818,180183,10535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13142.0,408.0,1726.0,146.0,7816.0,933.0,2992.0,1911.0,2507.0,151.0,2445.0,4254.0,2678.0,1319.0,90.0,373.0,1409.0,336.0,2189.0,604.0,47429.0
6GHOB ,Greater Hobart,2010,127453,1487.0,29783,981.0,2787,303.0,812.0,1075.0,4927,169608,145805,22309,1492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6GHOB ,Greater Hobart,2011,130240,1638.0,30512,1043.0,2856,297.0,817.0,1093.0,5220,173716,148028,24228,1458,,,,,,,,,,,,,,,,1.6,0.3,6.4,2.1,7.5,2.7,11.4,7.1,3.5,2.1,2.8,1.4,6.2,2.5,12.2,9.6,12.8,2.1,3.7,96870.0,891.0,38.0,701.0,43.0,2651.0,467.0,1313.0,826.0,909.0,124.0,1065.0,1509.0,1753.0,504.0,70.0,202.0,1077.0,243.0,662.0,197.0,15245.0
6GHOB ,Greater Hobart,2012,132938,1725.0,31758,1089.0,2905,304.0,781.0,1162.0,5670,178332,150248,26559,1526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,838.0,37.0,699.0,48.0,2591.0,454.0,1288.0,854.0,897.0,123.0,1101.0,1491.0,1800.0,506.0,69.0,210.0,1127.0,241.0,649.0,224.0,15247.0
6GHOB ,Greater Hobart,2013,130128,1706.0,31384,1092.0,2838,283.0,764.0,1122.0,6088,175405,146996,27037,1377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,795.0,37.0,680.0,41.0,2462.0,436.0,1192.0,820.0,850.0,113.0,1135.0,1495.0,1751.0,479.0,68.0,188.0,1148.0,239.0,632.0,239.0,14800.0
6GHOB ,Greater Hobart,2014,135998,1672.0,33035,1206.0,2844,279.0,781.0,1170.0,6548,183533,151381,30859,1297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,779.0,31.0,683.0,47.0,2375.0,434.0,1187.0,808.0,878.0,113.0,1177.0,1517.0,1762.0,472.0,65.0,196.0,1180.0,243.0,616.0,195.0,14758.0
6RTAS ,Rest of Tas.,2010,162341,2595.0,54401,1598.0,5459,1330.0,203.0,1441.0,9420,238788,192953,43216,2615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6RTAS ,Rest of Tas.,2011,164809,2666.0,55766,1606.0,5563,1377.0,205.0,1473.0,9856,243321,194570,46070,2674,,,,,,,,,,,,,,,,7.3,2.1,10.7,1.3,7.7,3.7,11.2,7.4,4.9,1.0,2.1,1.2,3.5,2.8,6.5,8.4,11.3,1.3,3.7,120048.0,5252.0,89.0,1039.0,57.0,3483.0,640.0,1888.0,1150.0,1272.0,92.0,1218.0,2173.0,1567.0,584.0,60.0,168.0,889.0,254.0,1034.0,213.0,23122.0
6RTAS ,Rest of Tas.,2012,169987,2799.0,58125,1698.0,5587,1326.0,208.0,1522.0,10806,252058,199519,49780,2751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5157.0,90.0,1008.0,56.0,3417.0,632.0,1848.0,1146.0,1241.0,89.0,1247.0,2182.0,1587.0,541.0,61.0,173.0,913.0,238.0,1058.0,277.0,22961.0
6RTAS ,Rest of Tas.,2013,168221,2775.0,57721,1686.0,5511,1239.0,184.0,1526.0,11208,250071,196203,51412,2459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5021.0,81.0,982.0,58.0,3249.0,581.0,1734.0,1100.0,1223.0,89.0,1243.0,2128.0,1533.0,515.0,55.0,166.0,917.0,223.0,1018.0,292.0,22208.0
