gccsa_code_2011,gccsa_name_2011,year,p_0_14_yrs_pc,p_15_24_yrs_pc,p_25_34_yrs_pc,p_35_44_yrs_pc,p_45_54_yrs_pc,p_55_64_yrs_pc,p_65_74_yrs_pc,p_75_84_yrs_pc,p_85_yrs_plus_pc,m_0_4_yrs,m_5_9_yrs,m_10_14_yrs,m_15_19_yrs,m_20_24_yrs,m_25_29_yrs,m_30_34_yrs,m_35_39_yrs,m_40_44_yrs,m_45_49_yrs,m_50_54_yrs,m_55_59_yrs,m_60_64_yrs,m_65_69_yrs,m_70_74_yrs,m_75_79_yrs,m_80_84_yrs,m_85_yrs_and_over,m_tot,f_0_4_yrs,f_5_9_yrs,f_10_14_yrs,f_15_19_yrs,f_20_24_yrs,f_25_29_yrs,f_30_34_yrs,f_35_39_yrs,f_40_44_yrs,f_45_49_yrs,f_50_54_yrs,f_55_59_yrs,f_60_64_yrs,f_65_69_yrs,f_70_74_yrs,f_75_79_yrs,f_80_84_yrs,f_85_yrs_and_over,f_tot,p_0_4_yrs,p_5_9_yrs,p_10_14_yrs,p_15_19_yrs,p_20_24_yrs,p_25_29_yrs,p_30_34_yrs,p_35_39_yrs,p_40_44_yrs,p_45_49_yrs,p_50_54_yrs,p_55_59_yrs,p_60_64_yrs,p_65_69_yrs,p_70_74_yrs,p_75_79_yrs,p_80_84_yrs,p_85_yrs_and_over,p_tot,p_tot_wrk_age_pop_pc,m_med_age,f_med_age,p_med_age,prop_indig_ppl_pc,bd_births,bd_tot_fert_rate,bd_deaths,bd_stnd_dth_rate,pop_density,rime_net_migrtn,rime_arrivals,rime_departures,obp_oceania_antar_pc,obp_nw_europe_pc,obp_sth_east_europe_pc,obp_nrth_afric_mid_east_pc,obp_se_asia_pc,obp_ne_asia_pc,obp_sth_cntrl_asia_pc,obp_america_pc,obp_sub_saharan_africa_pc,obp_tot_pc,spk_lang_oth_eng_pc,enrl_preschl_prog_4_yrs,enrl_preschl_prog_5_yrs,enrl_preschl_prog_tot,enrl_preschl_prog_preschl,enrl_preschl_prog_preschl_daycare,enrl_preschl_prog_1_more_type,att_preschl_15_hrs_less,att_preschl_15_hrs_more,psq_pop_15_yrs_plus_pc,psq_postgrad_deg_pc,psq_grad_dip_cert_pc,psq_bach_deg_pc,psq_adv_dip_dip_pc,psq_cert_pc,psq_inad_desc_ns_pc,oep_manager_pc,oep_prof_pc,oep_tech_trade_wrk_pc,oep_comm_pers_serv_wrk_pc,oep_cler_admin_wrk_pc,oep_sal_wrk_pc,oep_mach_oper_driv_pc,oep_lab_pc,oep_inad_desc_ns_pc,mtw_1_meth_train_or_tram,mtw_1_meth_bus,mtw_1_meth_car,mtw_1_meth_motorbike_or_scooter,mtw_1_meth_bicycle,mtw_1_meth_oth,mtw_1_meth_walk_ono,mtw_1_meth_tot,mtw_more_1_meth_tot,mtw_oth_wrk_home,mtw_oth_emp_not_go_to_wrk,mtw_oth_wrk_meth_ns,mtw_tot_empl,hhold_type_lone_pers,hhold_type_group,hhold_type_fam,hhold_type_tot,hhold_avg_size,fam_type_cpl_chld_u15_dep_stu,fam_type_cpl_non_dep_chld,fam_type_cpl_wo_chld,fam_type_opf_chld_u15_dep_stu,fam_type_opf_non_dep_chld,fam_type_oth_fam,fam_type_tot,fam_avg_size,disable_p_liv_priv_dwell,disable_p_liv_priv_dwell_pc,uw_volunt_wrk_org_grp_pc,uw_care_own_chld_wo_pay_pc,uw_care_oth_chld_wo_pay_pc,uw_care_own_oth_chld_wo_pay_pc,uw_prov_care_hpl_assist_oth_pc,internet_access_broadband_pc,internet_access_dial_up_pc,internet_access_other_pc,internet_access_tot_connected_pc
2GMEL,Greater Melbourne,2010,18.2,14.5,15.8,15.0,13.3,10.5,6.7,4.3,1.7,135353,123694,122662,134366,170575,173131,154188,155634,147288,139986,128128,110608,99618,74978,58580,44616,33295,23921,2030621,129175,118067,116510,128155,161270,168363,153763,160584,151547,144198,132799,116542,104998,79206,64325,53624,45833,46277,2075236,264528,241761,239172,262521,331845,341494,307951,316218,298835,284184,260927,227150,204616,154184,122905,98240,79128,70198,4105857,69.1,35,37,36,,,,,,411.0,-3679.0,65187.0,68866.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2GMEL,Greater Melbourne,2011,18.1,14.2,16.0,14.9,13.2,10.6,6.9,4.3,1.8,136310,126741,122915,133149,169232,176497,159637,154262,152010,140101,130684,113333,101066,78314,60462,45148,33998,25270,2059129,129845,120988,117107,127924,162547,172635,159247,157796,157406,144584,135879,119231,107791,83080,65417,54441,46299,48020,2110237,266155,247729,240022,261073,331779,349132,318884,312058,309416,284685,266563,232564,208857,161394,125879,99589,80297,73290,4169366,69.0,35,37,36,0.5,55234.0,,24501.0,,417.3,-4196.0,66238.0,70434.0,2.1,5.7,6.3,2.1,5.0,3.3,4.4,1.1,1.4,36.7,29.1,,,,,,,,,57.6,4.7,2.3,16.6,8.8,15.0,10.3,12.5,24.1,13.4,9.0,15.3,9.7,5.9,8.0,2.3,158385.0,22555.0,1249345.0,7929.0,25705.0,26977.0,56414.0,1547310.0,94766.0,70794.0,185082.0,29975.0,1927927.0,333280.0,66973.0,1030407.0,1430660.0,2.6,412174.0,93771.0,366856.0,101029.0,60180.0,21593.0,1055603.0,3.1,,,15.8,19.7,6.6,0.8,10.9,70.0,2.7,3.7,76.4
2GMEL,Greater Melbourne,2012,18.1,14.0,16.2,14.8,13.1,10.5,7.1,4.3,1.8,140634,130170,123548,133669,168473,180027,166542,154306,156632,140606,133846,116187,100724,83928,62513,46580,34362,26707,2099454,133778,124098,117956,128301,163315,177582,165955,156412,162547,145504,138656,122728,107780,89348,67679,55383,46111,49871,2153004,274412,254268,241504,261970,331788,357609,332497,310718,319179,286110,272502,238915,208504,173276,130192,101963,80473,76578,4252458,68.7,35,37,36,,59995.0,,24147.0,,425.6,-2426.0,69178.0,71604.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2GMEL,Greater Melbourne,2013,18.2,13.8,16.4,14.7,13.1,10.5,7.3,4.3,1.8,145216,133743,124889,134971,169733,183221,174316,155578,159157,142371,136599,119085,102156,88680,64107,48269,34496,28384,2144971,137766,127772,119555,128730,165199,182248,173800,157132,164828,147285,141420,125770,109511,94830,69640,56663,46194,51359,2199702,282982,261515,244444,263701,334932,365469,348116,312710,323985,289656,278019,244855,211667,183510,133747,104932,80690,79743,4344673,68.4,35,37,36,,57301.0,1.7,24159.0,5.1,434.9,1075.0,70690.0,69615.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2GMEL,Greater Melbourne,2014,18.2,13.7,16.6,14.5,13.0,10.5,7.4,4.3,1.9,148447,137319,126999,136287,173111,186985,181657,157981,160594,145571,138358,122655,104038,91735,66803,49799,34983,30220,2193542,140630,131302,121363,129942,167365,187188,181462,158650,165632,150029,143674,129217,112005,98104,72713,58125,46381,53004,2246786,289077,268621,248362,266229,340476,374173,363119,316631,326226,295600,282032,251872,216043,189839,139516,107924,81364,83224,4440328,68.3,35,37,36,,57863.0,1.7,25560.0,5.0,444.5,4143.0,73946.0,69803.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2RVIC,Rest of Vic.,2010,19.2,13.0,10.9,12.9,14.2,13.0,9.0,5.7,2.2,43868,43042,46790,48939,42408,37617,36269,42168,43984,47474,47700,45486,43328,33923,26785,20076,14976,10143,674976,41181,40504,44149,45930,38745,36739,36691,43446,44978,48761,48053,45211,42430,33805,27321,22974,19660,19690,680268,85049,83546,90939,94869,81153,74356,72960,85614,88962,96235,95753,90697,85758,67728,54106,43050,34636,29833,1355244,63.9,40,41,41,,,,,,6.2,7004.0,50008.0,43004.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2RVIC,Rest of Vic.,2011,19.1,12.7,10.9,12.7,14.0,13.3,9.3,5.7,2.3,44503,43739,46489,48509,41786,38086,36116,40989,44886,46544,48351,46829,44761,35910,27915,20494,15254,10669,681830,41293,41261,43545,45001,38882,37576,36818,42230,46049,48043,48909,46240,43979,35576,27960,23052,19776,20431,686621,85796,85000,90034,93510,80668,75662,72934,83219,90935,94587,97260,93069,88740,71486,55875,43546,35030,31100,1368451,63.6,40,42,41,1.5,16117.0,,11981.0,,6.3,7744.0,51432.0,43688.0,1.1,5.0,1.7,0.3,0.8,0.4,0.6,0.4,0.4,15.7,5.3,,,,,,,,,51.6,1.6,1.8,9.1,7.2,20.7,11.1,15.2,16.7,15.4,10.3,11.7,9.7,6.9,12.3,2.0,4313.0,3884.0,420077.0,2710.0,5168.0,10914.0,26802.0,473868.0,8320.0,38068.0,69744.0,10187.0,600187.0,143590.0,15658.0,354777.0,514025.0,2.4,120578.0,24548.0,151678.0,40529.0,17188.0,4434.0,358955.0,2.9,,,23.5,19.2,7.8,1.1,12.4,60.8,3.6,3.9,68.4
2RVIC,Rest of Vic.,2012,18.9,12.6,10.9,12.6,13.8,13.3,9.8,5.8,2.3,44391,44605,45813,48261,41771,38607,36656,39917,45465,45488,48861,47349,44645,38303,29074,21202,15293,11390,687091,41477,41673,43166,44927,38871,37994,37544,41167,47022,46946,49788,47131,43916,38081,29210,23442,19585,21032,692972,85868,86278,88979,93188,80642,76601,74200,81084,92487,92434,98649,94480,88561,76384,58284,44644,34878,32422,1380063,63.2,40,42,41,,17283.0,,11542.0,,6.3,3865.0,49201.0,45336.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2RVIC,Rest of Vic.,2013,18.9,12.4,10.9,12.4,13.7,13.3,10.1,5.8,2.4,44448,45492,45374,47938,41400,38388,37445,39398,45426,44837,49129,47769,45160,40341,29990,21843,15494,12058,691930,41611,42330,42957,44421,38525,38234,38173,40529,47352,46228,50273,47847,44771,40107,30138,23729,19605,21574,698404,86059,87822,88331,92359,79925,76622,75618,79927,92778,91065,99402,95616,89931,80448,60128,45572,35099,33632,1390334,62.8,41,42,42,,16556.0,2.1,11683.0,6.0,6.4,4368.0,48785.0,44417.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2RVIC,Rest of Vic.,2014,18.8,12.2,11.0,12.2,13.6,13.5,10.4,5.9,2.5,44265,46363,45048,47615,41160,38359,38144,38973,44767,44983,48866,48421,45922,41881,30967,22869,15523,12870,696996,41739,43013,42786,44104,38224,38294,39020,40122,46978,46358,50263,48617,45695,41514,31558,24257,19549,22252,704343,86004,89376,87834,91719,79384,76653,77164,79095,91745,91341,99129,97038,91617,83395,62525,47126,35072,35122,1401339,62.4,41,43,42,,16196.0,2.1,12397.0,5.9,6.4,4640.0,48816.0,44176.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3GBRI,Greater Brisbane,2010,19.8,15.0,15.3,14.7,13.2,10.7,6.3,3.6,1.5,75845,69505,68941,74998,85933,86464,75594,79651,73925,71893,65205,58211,53302,38442,27300,19193,14088,10262,1048752,70959,66046,65850,72230,83481,83363,76166,80927,75332,73719,67071,59872,53484,38736,28516,23301,19695,20848,1059596,146804,135551,134791,147228,169414,169827,151760,160578,149257,145612,132276,118083,106786,77178,55816,42494,33783,31110,2108348,68.8,34,36,35,,,,,,133.2,-449.0,70138.0,70587.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3GBRI,Greater Brisbane,2011,19.7,14.9,15.4,14.7,13.1,10.7,6.5,3.6,1.5,75862,71452,69612,75213,87032,88094,78417,79184,77019,72042,66804,59284,54316,40448,28496,19495,14336,10772,1067878,71637,67516,66305,72790,85248,85481,78061,80045,78780,73625,68805,60860,55007,40980,29549,23323,19904,21642,1079558,147499,138968,135917,148003,172280,173575,156478,159229,155799,145667,135609,120144,109323,81428,58045,42818,34240,32414,2147436,68.7,34,36,35,2.0,31074.0,,12045.0,,135.7,634.0,70169.0,69535.0,6.1,6.9,1.5,0.6,2.7,2.4,1.6,1.2,1.6,29.7,13.3,,,,,,,,,56.0,3.9,1.8,14.5,8.0,18.1,9.7,11.6,22.2,13.6,9.7,16.2,9.4,6.4,9.2,1.8,39871.0,51888.0,649142.0,9723.0,10425.0,21257.0,31320.0,813626.0,40823.0,40789.0,102175.0,13204.0,1010617.0,159970.0,38363.0,534160.0,732493.0,2.7,205861.0,40693.0,202740.0,60164.0,28096.0,10942.0,548496.0,3.0,,,18.8,20.7,7.3,1.1,10.2,72.1,2.5,3.9,78.6
3GBRI,Greater Brisbane,2012,19.7,14.8,15.5,14.6,13.0,10.6,6.8,3.6,1.5,77692,73545,70569,75913,88152,89675,81520,78666,79788,72364,68764,60226,54109,43641,30061,20165,14471,11428,1090749,73795,69277,66988,72830,86829,87871,80599,79369,81798,73728,70878,61952,55276,44383,31103,23855,19852,22184,1102567,151487,142822,137557,148743,174981,177546,162119,158035,161586,146092,139642,122178,109385,88024,61164,44020,34323,33612,2193316,68.4,34,36,35,,31363.0,,12426.0,,138.6,939.0,71795.0,70856.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3GBRI,Greater Brisbane,2013,19.7,14.6,15.6,14.4,13.0,10.5,7.1,3.6,1.5,79254,75767,71206,76637,89269,90723,84586,78037,81700,72903,70222,61206,54532,46393,31401,21230,14600,11948,1111614,75089,71378,67522,73283,87910,89683,83873,79146,83717,74060,72696,63199,56285,47156,32708,24287,19773,22665,1124430,154343,147145,138728,149920,177179,180406,168459,157183,165417,146963,142918,124405,110817,93549,64109,45517,34373,34613,2236044,68.1,34,36,35,,31145.0,1.9,12409.0,5.7,141.3,-505.0,70109.0,70614.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3GBRI,Greater Brisbane,2014,19.6,14.5,15.7,14.3,12.9,10.5,7.3,3.6,1.6,79712,77850,72093,77139,90878,91317,87072,77908,82602,73658,71359,62629,55009,48241,33103,22556,14680,12579,1130385,75515,73193,68533,73962,88619,91017,86760,79329,84461,75070,73586,64718,57467,49104,34691,25198,19638,23314,1144175,155227,151043,140626,151101,179497,182334,173832,157237,167063,148728,144945,127347,112476,97345,67794,47754,34318,35893,2274560,67.9,34,36,35,,30929.0,1.8,12597.0,5.7,143.7,1991.0,73715.0,71724.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3RQLD,Rest of Qld,2010,20.3,13.2,12.8,14.0,14.0,11.9,7.9,4.3,1.6,80896,77867,80051,79331,75746,76944,70631,80661,78790,81765,77622,71180,67516,52844,39420,27405,18884,13098,1150651,76496,73671,76325,75563,73359,74939,71911,81438,80082,83752,78309,69887,64842,51233,38188,29296,23713,22741,1145745,157392,151538,156376,154894,149105,151883,142542,162099,158872,165517,155931,141067,132358,104077,77608,56701,42597,35839,2296396,65.9,37,38,38,,,,,,1.3,6634.0,89021.0,82387.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
