gccsa_code,gccsa_name,year,num_bus_non_empl_bus,num_bus_1_4_empl,num_bus_5_19_empl,num_bus_20_plus_empl,num_bus_tot,num_bus_entr_non_empl_bus,num_bus_entr_1_4_empl,num_bus_entr_5_19_empl,num_bus_entr_20_plus_empl,num_bus_entr_tot,num_bus_exit_non_empl_bus,num_bus_exit_1_4_empl,num_bus_exit_5_19_empl,num_bus_exit_20_plus_empl,num_bus_exit_tot,bnkrpt_non_bus_rel_ns,bnkrpt_bus_rel,bnkrpt_tot,patent_applications,trademark_applications,lfs_lab_frc,lfs_unemployed,lfs_unemployment_rate_pc,lfs_participation_rate_pc,ye_wrk_ft_stdy_pt_pc,ye_wrk_pt_stdy_pt_pc,ye_wrk_pt_stdy_ft_pc,ye_wrk_ft_no_stdy_pc,ye_no_wrk_stdy_ft_pc,ye_wrk_ft_stdy_ft_pc,ye_fully_engaged_pc,ye_tot_age_15_19,sgpa_age_pens_ctrlnk,sgpa_age_pens_dva,sgpa_srvc_pens_dva,sgpa_inc_supp_dva,sgpa_carer_pay,sgpa_disable_supp_pens,sgpa_newstrt_allow,sgpa_newstrt_allow_365_days_plus_pc,sgpa_prnt_pay_single,sgpa_yth_all_ft_stud_apprntc,sgpa_yth_allow_oth,sgpa_family_tax_benefit_a,sgpa_family_tax_benefit_b,sgpa_tot_fam_tax_benf_recip,epi_med_emply_inc_aud,epi_tot_employ_inc_m_aud,epi_employ_inc_earners,epi_med_own_uninc_bus_inc_aud,epi_tot_own_uninc_bus_inc_m_aud,epi_own_uninc_bus_inc_earnrs,epi_med_invstmnt_inc_aud,epi_tot_invstmnt_inc_m_aud,epi_invstmnt_inc_earnrs,epi_med_supr_annuity_inc_aud,epi_tot_supr_annuity_inc_m_aud,epi_supr_annuity_inc_earnrs,epi_med_oth_inc_aud,epi_tot_oth_inc_m_aud,epi_oth_inc_earnrs,epi_med_tot_inc_aud,epi_tot_tot_inc_m_aud,epi_tot_inc_earnrs,avg_mnthly_hhld_rnt_paymnt_aud,avg_mnthly_hhld_mrtge_paymnt_aud,ba_priv_sect_hse,ba_priv_sect_dwell_excl_hse,ba_tot_priv_sect_dwell_units,ba_tot_dwell_units,ba_val_priv_sect_hses_m_aud,ba_val_priv_sect_dwell_excl_hse_m_aud,ba_val_tot_res_bld_m_aud,ba_val_tot_non_res_bld_m_aud,ba_val_tot_bld_m_aud,rpp_hse_num_trans,rpp_hse_med_sal_prc_aud,rpp_att_dwell_num_trans,rpp_att_dwell_med_sal_prc_aud
5GPER,Greater Perth,2010,,,,,,,,,,,,,,,,,,,1011.0,3720.0,,,,,,,,,,,,,,,,,,,,,,,,135745,119309,144095,,,,,,,,,,,,,,,,,,,,,14966.0,2958.0,17924.0,19557.0,4188.0,777.0,5334.0,4695.0,10029.0,,,,
5GPER,Greater Perth,2011,110190.0,41421.0,15149.0,4508.0,171268.0,,,,,,,,,,,,,,916.0,3586.0,900494.0,42860.0,4.8,64.5,2.7,1.5,21.9,10.0,41.3,0.5,77.8,117749.0,,,,,,,,,,,,128064,115496,137805,,,,,,,,,,,,,,,,,,,1422.0,2164.0,12950.0,2351.0,15301.0,16048.0,3963.0,559.0,4727.0,2254.0,6982.0,,,,
5GPER,Greater Perth,2012,109030.0,41510.0,15904.0,4813.0,171257.0,17400.0,6409.0,781.0,109.0,24699.0,20056.0,3780.0,878.0,207.0,24921.0,900.0,399.0,1299.0,917.0,3503.0,,,,,,,,,,,,,,,,,,,,,,,,110021,102277,119720,,,,,,,,,,,,,,,,,,,,,11912.0,2819.0,14731.0,14988.0,3567.0,705.0,4313.0,3287.0,7600.0,,,,
5GPER,Greater Perth,2013,105211.0,40375.0,15900.0,5096.0,166582.0,14607.0,5312.0,736.0,125.0,20780.0,19992.0,4287.0,939.0,181.0,25399.0,777.0,402.0,1179.0,974.0,3620.0,,,,,,,,,,,,,,,,,,,,,,,,120555,112591,131615,54216.0,64787.0,944673.0,14344.0,4701.0,144205.0,309.0,7996.0,753713.0,19318.0,730.0,28786.0,141.0,441.0,138613.0,52225.0,78655.0,1130224.0,,,14674.0,4460.0,19134.0,19772.0,4051.0,1010.0,5285.0,3815.0,9100.0,28435.0,510000.0,9118.0,420000.0
5GPER,Greater Perth,2014,106498.0,41683.0,16318.0,5271.0,169770.0,17452.0,6507.0,880.0,113.0,24952.0,16830.0,3788.0,866.0,191.0,21675.0,746.0,324.0,1070.0,880.0,3765.0,,,,,,,,,,,,,,,,,,,,,,,,114782,108789,124572,,,,,,,,,,,,,,,,,,,,,19167.0,5807.0,24974.0,25344.0,5349.0,1362.0,6902.0,3931.0,10833.0,,,,
5RWAU,Rest of WA,2010,,,,,,,,,,,,,,,,,,,106.0,374.0,,,,,,,,,,,,,,,,,,,,,,,,47453,43074,50209,,,,,,,,,,,,,,,,,,,,,4678.0,618.0,5296.0,6096.0,1423.0,144.0,1813.0,1732.0,3544.0,,,,
5RWAU,Rest of WA,2011,30046.0,12973.0,5087.0,1190.0,49296.0,,,,,,,,,,,,,,110.0,406.0,248307.0,10984.0,4.4,62.8,3.7,1.3,13.7,15.5,33.5,0.5,68.2,30224.0,,,,,,,,,,,,45472,42269,48692,,,,,,,,,,,,,,,,,,,1005.0,1815.0,3750.0,680.0,4430.0,4950.0,1265.0,229.0,1672.0,1880.0,3553.0,,,,
5RWAU,Rest of WA,2012,29604.0,12657.0,5041.0,1232.0,48534.0,3608.0,1405.0,198.0,25.0,5236.0,4490.0,1079.0,314.0,50.0,5933.0,263.0,115.0,378.0,114.0,443.0,,,,,,,,,,,,,,,,,,,,,,,,39236,37354,42428,,,,,,,,,,,,,,,,,,,,,3221.0,777.0,3998.0,4287.0,1155.0,269.0,1578.0,2097.0,3675.0,,,,
5RWAU,Rest of WA,2013,28659.0,12168.0,4990.0,1281.0,47098.0,3002.0,1144.0,172.0,25.0,4343.0,4454.0,992.0,283.0,36.0,5765.0,234.0,139.0,373.0,110.0,405.0,,,,,,,,,,,,,,,,,,,,,,,,42343,40347,45812,50155.0,14187.0,224268.0,11498.0,1374.0,52599.0,295.0,1512.0,180250.0,15098.0,132.0,5617.0,97.0,67.0,32712.0,48318.0,17272.0,276356.0,,,3785.0,902.0,4687.0,5409.0,1290.0,348.0,1882.0,1688.0,3570.0,6056.0,375000.0,935.0,315000.0
5RWAU,Rest of WA,2014,28606.0,12299.0,5190.0,1334.0,47429.0,3458.0,1525.0,330.0,48.0,5361.0,3869.0,854.0,237.0,39.0,4999.0,216.0,97.0,313.0,81.0,436.0,,,,,,,,,,,,,,,,,,,,,,,,40075,38457,43182,,,,,,,,,,,,,,,,,,,,,4267.0,692.0,4959.0,5278.0,1413.0,200.0,1786.0,1505.0,3292.0,,,,
6GHOB,Greater Hobart,2010,,,,,,,,,,,,,,,,,,,45.0,250.0,,,,,,,,,,,,,,,,,,,,,,,,21442,17263,21861,,,,,,,,,,,,,,,,,,,,,1089.0,254.0,1343.0,1442.0,302.0,38.0,363.0,374.0,737.0,,,,
6GHOB,Greater Hobart,2011,9139.0,3913.0,1726.0,467.0,15245.0,,,,,,,,,,,,,,45.0,215.0,102767.0,5896.0,5.7,59.8,2.3,1.6,19.7,7.3,45.7,0.3,76.9,13784.0,,,,,,,,,,,,20704,16879,21158,,,,,,,,,,,,,,,,,,,1037.0,1575.0,916.0,353.0,1269.0,1415.0,279.0,63.0,380.0,199.0,579.0,,,,
6GHOB,Greater Hobart,2012,9170.0,3824.0,1782.0,471.0,15247.0,1231.0,499.0,76.0,8.0,1814.0,1394.0,331.0,89.0,22.0,1836.0,,,296.0,47.0,297.0,,,,,,,,,,,,,,,,,,,,,,,,19033,15680,19454,,,,,,,,,,,,,,,,,,,,,642.0,164.0,806.0,829.0,224.0,27.0,255.0,267.0,522.0,,,,
6GHOB,Greater Hobart,2013,8940.0,3654.0,1764.0,442.0,14800.0,1052.0,370.0,80.0,13.0,1515.0,1471.0,370.0,105.0,17.0,1963.0,,,234.0,36.0,262.0,,,,,,,,,,,,,,,,,,,,,,,,20188,16886,20708,45766.0,4910.0,94111.0,9944.0,367.0,16650.0,308.0,523.0,78106.0,20520.0,192.0,7620.0,116.0,30.0,12743.0,42992.0,6022.0,116025.0,,,541.0,190.0,731.0,737.0,171.0,32.0,218.0,195.0,413.0,2958.0,335000.0,1009.0,280000.0
6GHOB,Greater Hobart,2014,8892.0,3708.0,1738.0,420.0,14758.0,1179.0,460.0,79.0,17.0,1735.0,1331.0,342.0,94.0,12.0,1779.0,174.0,51.0,225.0,30.0,285.0,,,,,,,,,,,,,,,,,,,,,,,,19421,16440,19870,,,,,,,,,,,,,,,,,,,,,737.0,94.0,831.0,838.0,217.0,18.0,245.0,515.0,759.0,,,,
6RTAS,Rest of Tas.,2010,,,,,,,,,,,,,,,,,,,60.0,196.0,,,,,,,,,,,,,,,,,,,,,,,,31019,25057,31475,,,,,,,,,,,,,,,,,,,,,1504.0,365.0,1869.0,1913.0,400.0,57.0,465.0,407.0,872.0,,,,
6RTAS,Rest of Tas.,2011,13840.0,6078.0,2686.0,518.0,23122.0,,,,,,,,,,,,,,54.0,299.0,128863.0,8814.0,6.8,56.4,2.8,1.2,16.6,9.9,44.4,0.3,75.2,18801.0,,,,,,,,,,,,29699,24347,30214,,,,,,,,,,,,,,,,,,,799.0,1339.0,1267.0,348.0,1615.0,1709.0,357.0,54.0,430.0,262.0,692.0,,,,
6RTAS,Rest of Tas.,2012,13743.0,5885.0,2789.0,544.0,22961.0,1534.0,605.0,117.0,12.0,2268.0,1835.0,479.0,123.0,17.0,2454.0,,,418.0,52.0,221.0,,,,,,,,,,,,,,,,,,,,,,,,27001,22492,27548,,,,,,,,,,,,,,,,,,,,,1057.0,230.0,1287.0,1297.0,322.0,35.0,359.0,272.0,631.0,,,,
6RTAS,Rest of Tas.,2013,13276.0,5692.0,2700.0,540.0,22208.0,1281.0,541.0,113.0,12.0,1947.0,2004.0,489.0,149.0,14.0,2656.0,,,344.0,46.0,292.0,,,,,,,,,,,,,,,,,,,,,,,,28488,23952,29097,41820.0,5566.0,116266.0,6448.0,373.0,25784.0,305.0,582.0,92767.0,15803.0,147.0,6572.0,103.0,29.0,15130.0,39040.0,6696.0,144286.0,,,901.0,167.0,1068.0,1107.0,256.0,28.0,304.0,257.0,561.0,4454.0,250000.0,748.0,225000.0
6RTAS,Rest of Tas.,2014,13014.0,5652.0,2729.0,540.0,21935.0,1311.0,603.0,128.0,29.0,2071.0,1792.0,419.0,141.0,9.0,2361.0,249.0,54.0,303.0,27.0,233.0,,,,,,,,,,,,,,,,,,,,,,,,27409,23439,27996,,,,,,,,,,,,,,,,,,,,,1048.0,237.0,1285.0,1326.0,291.0,34.0,345.0,175.0,520.0,,,,
7GDAR,Greater Darwin,2010,,,,,,,,,,,,,,,,,,,21.0,77.0,,,,,,,,,,,,,,,,,,,,,,,,10052,8591,10400,,,,,,,,,,,,,,,,,,,,,543.0,328.0,871.0,1095.0,228.0,85.0,386.0,393.0,779.0,,,,
7GDAR,Greater Darwin,2011,6455.0,2323.0,1060.0,350.0,10188.0,,,,,,,,,,,,,,21.0,85.0,65397.0,2353.0,3.6,68.7,3.3,1.4,16.2,13.7,34.4,0.7,69.6,8025.0,,,,,,,,,,,,9676,8473,10073,,,,,,,,,,,,,,,,,,,1571.0,2288.0,332.0,748.0,1080.0,1258.0,168.0,229.0,486.0,275.0,761.0,,,,
7GDAR,Greater Darwin,2012,6542.0,2393.0,1072.0,365.0,10372.0,1179.0,372.0,55.0,8.0,1614.0,1186.0,190.0,52.0,11.0,1439.0,40.0,17.0,57.0,19.0,104.0,,,,,,,,,,,,,,,,,,,,,,,,8582,7653,9017,,,,,,,,,,,,,,,,,,,,,489.0,881.0,1370.0,1438.0,221.0,259.0,496.0,637.0,1003.0,,,,
7GDAR,Greater Darwin,2013,6334.0,2410.0,1110.0,373.0,10227.0,1028.0,359.0,43.0,6.0,1436.0,1294.0,236.0,55.0,10.0,1595.0,40.0,25.0,65.0,17.0,102.0,,,,,,,,,,,,,,,,,,,,,,,,8990,8175,9531,57617.0,4588.0,71061.0,12476.0,242.0,9269.0,102.0,243.0,47672.0,24964.0,81.0,2600.0,83.0,13.0,8456.0,56621.0,5167.0,78502.0,,,626.0,1257.0,1883.0,1973.0,252.0,512.0,807.0,480.0,1194.0,1564.0,570000.0,1374.0,429750.0
7GDAR,Greater Darwin,2014,6249.0,2463.0,1183.0,410.0,10305.0,1118.0,450.0,55.0,6.0,1629.0,1239.0,234.0,47.0,14.0,1534.0,42.0,13.0,55.0,8.0,104.0,,,,,,,,,,,,,,,,,,,,,,,,8387,7806,8930,,,,,,,,,,,,,,,,,,,,,682.0,1105.0,1787.0,1890.0,295.0,256.0,605.0,584.0,1189.0,,,,
7RNTE,Rest of NT,2010,,,,,,,,,,,,,,,,,,,3.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,12171,11319,12343,,,,,,,,,,,,,,,,,,,,,115.0,30.0,145.0,338.0,45.0,8.0,256.0,230.0,487.0,,,,
7RNTE,Rest of NT,2011,2300.0,915.0,600.0,187.0,4002.0,,,,,,,,,,,,,,5.0,18.0,37809.0,3037.0,8.0,57.5,1.4,0.6,7.2,9.2,32.5,0.4,51.2,6760.0,,,,,,,,,,,,11981,11234,12167,,,,,,,,,,,,,,,,,,,634.0,1917.0,89.0,79.0,168.0,278.0,45.0,23.0,141.0,119.0,261.0,,,,
