yr,pop_p_brn_ovs_num_f_num,pop_p_brn_ovs_num_m_num,pop_p_brn_ovs_tot_pop_num,age_p_brn_ovs_0_4_yrs_num,age_p_brn_ovs_5_9_yrs_num,age_p_brn_ovs_10_14_yrs_num,age_p_brn_ovs_15_19_yrs_num,age_p_brn_ovs_20_24_yrs_num,age_p_brn_ovs_25_29_yrs_num,age_p_brn_ovs_30_34_yrs_num,age_p_brn_ovs_35_39_yrs_num,age_p_brn_ovs_40_44_yrs_num,age_p_brn_ovs_45_49_yrs_num,age_p_brn_ovs_50_54_yrs_num,age_p_brn_ovs_55_59_yrs_num,age_p_brn_ovs_60_64_yrs_num,age_p_brn_ovs_65_69_yrs_num,age_p_brn_ovs_70_74_yrs_num,age_p_brn_ovs_75_79_yrs_num,age_p_brn_ovs_80_84_yrs_num,age_p_brn_ovs_85_ov_num,yr_arrival_p_brn_ovs_arrived_5_yrs_pr100,yr_arrival_p_brn_ovs_arrived_5_10_yrs_ago_pr100,yr_arrival_p_brn_ovs_arrived_ov_10_yrs_ago_pr100,yr_arrival_p_brn_ovs_arrival_ns_pr100,citizenship_status_p_brn_ovs_aus_citizen_pr100,citizenship_status_p_brn_ovs_no_aus_citizen_pr100,citizenship_status_p_brn_ovs_citizenship_ns_pr100,rel_aff_p_brn_ovs_buddhism_pr100,rel_aff_p_brn_ovs_christianity_pr100,rel_aff_p_brn_ovs_hinduism_pr100,rel_aff_p_brn_ovs_islam_pr100,rel_aff_p_brn_ovs_judaism_pr100,rel_aff_p_brn_ovs_oth_religion_pr100,rel_aff_p_brn_ovs_no_religion_pr100,rel_aff_p_brn_ovs_sec_bels_oth_sprt_blfs_no_rel_aff_pr100,rel_aff_p_brn_ovs_religion_ns_pr100,eng_prof_p_brn_ovs_proficient_eng_pr100,eng_prof_p_brn_ovs_no_proficient_eng_pr100,eng_prof_p_brn_ovs_eng_prof_ns_pr100,qualf_p_brn_ovs_postgrad_degree_lvl_pr100,qualf_p_brn_ovs_grad_dip_grad_certificate_lvl_pr100,qualf_p_brn_ovs_bachelor_degree_lvl_pr100,qualf_p_brn_ovs_adv_dip_dip_lvl_pr100,qualf_p_brn_ovs_certificate_lvl_pr100,qualf_p_brn_ovs_scl_edu_lvl_pr100,qualf_p_brn_ovs_edu_ns_pr100,occ_p_brn_ovs_managers_pr100,occ_p_brn_ovs_pros_pr100,occ_p_brn_ovs_tech_trades_wrkers_pr100,occ_p_brn_ovs_cmty_p_wrkers_pr100,occ_p_brn_ovs_clrc_admt_wrkers_pr100,occ_p_brn_ovs_sales_wrkers_pr100,occ_p_brn_ovs_mach_ops_drivers_pr100,occ_p_brn_ovs_labourers_pr100,occ_p_brn_ovs_occ_ns_pr100,lbr_frc_stat_p_brn_ovs_lbr_frc_num,lbr_frc_stat_p_brn_ovs_unemp_num,lbr_frc_stat_p_brn_ovs_ptic_rt_pr100,lbr_frc_stat_p_brn_ovs_unemp_rt_pr100,tot_p_inc_wk_p_brn_ovs_15_yrs_ov_p_earn_aud1_aud499wk_pr100,tot_p_inc_wk_p_brn_ovs_15_yrs_ov_p_earn_aud500_aud999wk_pr100,tot_p_inc_wk_p_brn_ovs_15_yrs_ov_p_earn_aud1000_aud1999wk_pr100,tot_p_inc_wk_p_brn_ovs_15_yrs_ov_p_earn_aud2000_aud2999wk_pr100,tot_p_inc_wk_p_brn_ovs_15_yrs_ov_p_earn_aud3000_plswk_pr100,tot_p_inc_wk_p_brn_ovs_15_yrs_ov_p_earn_nil_inc_pr100,tot_p_inc_wk_p_brn_ovs_15_yrs_ov_p_negative_inc_pr100,tot_p_inc_wk_p_brn_ovs_15_yrs_ov_inc_ns_pr100,gcc_code16,gcc_name16,ogc_fid
2011,193576,181869,375445,4465,10488,13858,14514,18107,23766,25678,29124,32875,34863,31568,28497,31678,25485,19803,13512,9320,7842.0,20.1,13.2,61.7,5.0,55.3,42.9,1.8,3.2,61.9,1.6,1.7,0.3,1.1,24.5,,4.8,95.7,3.6,0.8,3.6,1.2,12.5,9.2,16.5,40.0,7.0,6.4,10.1,8.2,5.8,6.3,4.7,3.3,6.8,0.4,211730,14406,56.4,6.8,,,,,,,,,3RQLD,Rest of Qld,11
2016,219696,199560,419252,3594,10159,14637,16672,20761,28361,31419,31421,33033,35526,35934,32409,29197,32202,24805,18050,11246,9846.0,15.4,17.1,63.8,3.8,55.6,42.5,1.8,3.3,54.2,2.3,1.9,0.3,1.5,,32.1,3.9,95.2,4.2,0.6,4.8,1.5,14.9,10.6,19.9,,4.4,6.4,10.6,7.6,6.9,5.8,4.6,3.0,7.2,0.4,239722,18447,57.2,7.7,31.5,27.1,21.0,4.1,2.7,0.1,0.7,3.2,3RQLD,Rest of Qld,12
2011,159623,150488,310109,3250,7279,8801,10825,17689,20809,20599,19817,22312,26205,25246,23841,25804,20240,18601,16068,12253,10481.0,19.6,10.6,65.3,4.4,62.5,35.6,1.8,5.7,58.1,3.8,4.6,0.2,2.1,20.5,,4.5,89.5,9.6,0.9,5.5,1.5,14.4,7.9,12.7,41.2,7.3,5.1,11.2,6.5,5.2,6.1,3.2,2.7,5.7,0.4,155028,10534,50.0,6.8,,,,,,,,,4GADE,Greater Adelaide,13
2016,176109,164211,340314,3183,7759,10448,14151,20290,23255,27504,25487,22598,23573,26256,25048,23418,24815,19187,16891,13347,13111.0,17.5,16.3,63.2,3.0,61.9,36.4,1.7,5.6,48.7,5.4,6.1,0.2,2.7,,26.9,4.1,88.9,10.4,0.7,7.5,1.7,16.8,8.8,14.7,,3.6,5.0,11.1,5.9,6.3,5.2,3.2,2.5,5.7,0.3,171294,16287,50.3,9.5,36.2,24.1,18.9,3.4,2.0,0.1,0.7,2.8,4GADE,Greater Adelaide,14
2011,21004,20264,41269,312,719,825,746,842,1426,1671,1927,2648,3745,3902,3910,4745,4257,3690,2716,1849,1340.0,11.9,6.5,76.2,5.4,64.1,33.9,2.0,1.8,64.4,1.0,1.8,0.1,1.8,22.3,,6.1,94.5,4.4,1.1,2.2,1.3,9.1,7.1,17.9,45.7,9.4,6.2,7.5,6.0,4.5,4.2,2.5,2.9,8.3,0.5,18753,1044,45.4,5.6,,,,,,,,,4RSAU,Rest of SA,15
2016,21716,20647,42368,246,689,972,837,980,1776,1961,1942,2144,2694,3829,4025,4140,4870,4112,3253,2134,1762.0,10.4,10.2,74.5,5.0,64.2,33.7,2.1,2.3,59.0,1.3,2.4,0.1,1.8,,27.8,5.0,93.9,4.9,1.2,2.8,1.4,10.6,8.2,20.9,,6.8,5.6,7.0,5.3,4.9,3.6,2.4,2.5,9.1,0.3,18763,1318,44.3,7.0,42.9,25.8,15.3,2.6,1.6,0.1,0.7,4.7,4RSAU,Rest of SA,16
2011,301120,295757,596873,7363,17385,21933,25406,37861,47518,46595,47474,52928,56488,49604,42809,43126,31375,24843,18740,13380,12053.0,22.7,13.4,59.2,4.7,59.9,37.9,2.1,5.2,60.7,2.9,4.2,0.6,1.4,20.3,,4.0,93.3,5.5,1.2,5.0,1.6,16.0,9.4,14.3,37.2,5.3,6.4,13.3,9.3,5.7,7.9,4.1,3.7,5.6,0.4,356814,17808,59.8,5.0,,,,,,,,,5GPER,Greater Perth,17
2016,356887,344447,701335,6837,19393,26002,30548,41246,58260,69273,61444,57010,58463,58160,49433,42314,41019,29586,22607,15631,14120.0,18.6,20.3,58.2,2.8,59.0,39.2,1.8,5.1,52.1,4.4,4.7,0.4,2.0,,27.1,3.8,93.3,6.1,0.7,6.6,1.8,18.6,10.3,16.9,,3.4,6.3,12.9,8.8,6.4,6.8,4.2,3.7,5.9,0.3,429080,36558,61.2,8.5,26.2,21.9,25.2,6.7,4.4,0.1,0.7,2.7,5GPER,Greater Perth,18
2011,41098,46624,87723,987,2344,2732,2409,3804,6223,6584,7372,8345,9197,8285,6845,7197,5457,3970,2630,1715,1621.0,21.7,11.0,59.2,8.1,52.8,42.4,4.8,2.5,61.6,1.2,1.4,0.1,0.7,24.0,,7.7,93.5,2.7,3.8,2.5,1.4,11.7,8.7,18.6,38.9,8.0,7.3,10.0,11.3,5.2,6.0,3.3,6.4,8.4,0.4,53435,1989,60.9,3.7,,,,,,,,,5RWAU,Rest of WA,19
2016,45856,47495,93351,773,2223,3047,2854,3397,6397,7815,7542,7616,8368,9022,8159,6594,6971,5096,3473,2132,1865.0,15.9,18.5,61.0,4.5,55.3,43.0,1.8,2.9,56.9,1.7,1.8,0.1,0.9,,30.9,4.3,95.9,2.8,1.2,3.5,1.6,14.1,10.1,22.5,,5.1,7.0,9.9,10.8,6.3,5.4,3.7,6.0,9.0,0.3,58173,3085,62.3,5.3,26.2,22.4,24.7,8.7,5.3,0.1,0.7,3.9,5RWAU,Rest of WA,20
2011,14272,13626,27894,309,640,732,954,1724,1747,1580,1702,1940,2224,2288,2164,2580,2078,1758,1409,1095,974.0,18.4,9.9,67.3,4.4,64.2,34.4,1.5,3.6,54.2,2.9,2.9,0.3,1.3,29.5,,4.6,94.0,5.4,0.6,8.6,2.4,18.6,9.5,12.4,33.4,6.6,5.9,15.0,5.2,5.3,5.7,3.1,1.6,3.7,0.3,13860,996,49.7,7.2,,,,,,,,,6GHOB,Greater Hobart,21
2016,15885,14692,30577,284,665,776,1137,1911,2327,2271,2011,1919,2033,2212,2271,2187,2558,2016,1632,1195,1164.0,18.4,12.9,65.2,3.5,61.9,36.3,1.8,4.0,43.6,4.5,3.8,0.2,1.8,,37.2,4.5,93.1,6.2,0.7,11.6,2.7,19.9,9.6,13.9,,3.8,5.5,14.2,4.8,6.5,5.0,2.9,1.5,4.2,0.2,15148,1267,49.5,8.4,34.4,24.8,20.3,4.1,2.4,0.1,0.5,2.5,6GHOB,Greater Hobart,22
2011,14916,14506,29427,233,558,659,734,964,1062,1253,1520,1882,2439,2561,2688,3535,3185,2458,1642,1114,930.0,12.8,7.5,75.5,4.2,64.6,34.1,1.3,2.6,59.7,2.1,1.3,0.1,1.2,26.4,,5.8,96.7,2.8,0.5,4.6,1.7,14.2,9.7,16.2,38.8,7.5,6.2,11.1,5.3,4.3,4.6,2.4,1.9,4.5,0.3,13098,1024,44.5,7.8,,,,,,,,,6RTAS,Rest of Tas.,23
2016,15524,14811,30335,263,532,714,769,1091,1279,1401,1468,1594,1956,2502,2709,2833,3640,3032,2168,1321,1081.0,12.0,9.7,74.5,3.8,64.7,33.8,1.6,3.2,52.1,2.4,2.5,0.1,1.4,,32.9,4.9,95.1,4.3,0.6,5.6,2.0,15.6,10.9,18.7,,5.0,5.9,10.4,4.3,4.6,4.0,2.1,1.7,5.2,0.2,12822,1075,42.3,8.4,44.0,23.8,15.2,2.9,2.1,0.1,0.6,3.1,6RTAS,Rest of Tas.,24
2011,12996,13082,26072,400,826,890,1051,1474,2498,2567,2459,2472,2408,2198,1972,1891,1210,842,471,286,157.0,26.2,11.1,55.0,7.7,56.5,38.7,4.8,7.0,57.8,4.2,3.7,0.1,1.2,18.8,,6.4,88.7,7.6,3.7,5.8,1.8,16.3,8.6,13.5,34.2,8.7,7.7,13.9,9.5,8.1,8.4,4.5,3.3,6.9,0.5,17153,641,65.8,3.7,,,,,,,,,7GDAR,Greater Darwin,25
2016,17462,17442,34908,597,1168,1334,1242,1992,3845,4429,3763,3074,2847,2586,2226,1850,1636,1015,698,372,235.0,26.8,22.4,46.8,4.0,53.0,45.1,1.9,7.3,51.9,7.4,4.4,0.1,1.5,,23.6,3.3,91.7,7.4,0.9,7.5,1.9,20.2,9.3,16.5,,3.6,7.1,13.3,10.7,9.2,7.4,4.9,3.4,8.2,0.4,23935,1146,68.6,4.8,18.3,23.7,31.5,8.1,4.9,0.1,0.7,2.9,7GDAR,Greater Darwin,26
2011,4299,4248,8550,152,281,312,282,481,816,907,852,810,893,820,698,562,329,200,77,59,22.0,30.8,14.0,49.6,5.6,46.6,51.3,2.0,4.3,60.5,3.1,1.8,0.2,1.6,23.0,,4.2,95.4,3.8,0.8,6.2,2.3,18.6,10.4,14.4,30.8,5.9,8.5,19.0,9.9,9.5,8.2,4.0,3.5,7.7,0.6,6323,166,74.0,2.6,,,,,,,,,7RNTE,Rest of NT,27
2016,5053,4893,9944,167,325,386,354,480,1059,1205,1011,839,857,895,782,614,439,259,162,62,48.0,27.5,21.4,46.1,5.0,47.2,50.6,2.2,4.7,52.9,4.5,2.0,0.2,2.1,,28.7,4.3,95.1,3.9,1.0,7.5,2.7,21.1,10.8,16.8,,3.9,8.7,18.2,8.4,12.3,7.3,4.3,2.7,8.3,0.4,7311,188,73.5,2.6,12.7,26.4,37.0,8.9,3.5,0.1,0.5,3.2,7RNTE,Rest of NT,28
2011,44344,41611,85960,1092,1934,2138,3149,6551,7710,7619,7092,6962,7450,6985,6231,6353,4634,3556,2714,1997,1798.0,20.1,11.4,64.7,3.8,69.5,29.1,1.4,7.6,48.5,5.7,6.2,0.4,1.6,25.5,,3.8,92.6,6.6,0.7,14.1,3.2,22.4,8.7,7.9,30.9,3.8,8.0,20.2,5.5,5.3,9.4,3.4,1.4,3.9,0.3,52733,2545,61.3,4.8,,,,,,,,,8ACTE,Australian Capital Territory,29
2016,54349,50432,104780,1209,2694,3047,4350,8166,9209,11275,10119,8494,7607,7641,6937,6041,5910,4355,3325,2286,2115.0,21.3,16.2,59.8,2.7,64.6,33.7,1.7,7.0,40.5,7.6,6.5,0.3,2.1,,31.5,4.1,92.2,7.2,0.6,16.4,3.3,24.5,8.6,9.2,,2.4,7.6,19.4,5.0,6.4,7.7,3.4,1.4,4.2,0.3,62797,3852,59.9,6.1,22.1,21.1,28.2,9.5,4.3,0.1,0.5,1.9,8ACTE,Australian Capital Territory,30
2011,297,958,1255,6,8,15,47,131,254,173,101,122,100,70,97,79,29,19,5,4,,6.1,3.9,39.2,51.0,26.5,24.9,49.2,23.3,11.3,0.6,10.4,0.3,0.2,4.1,,49.8,34.9,16.1,49.4,1.3,0.4,3.8,3.2,7.6,23.4,54.3,3.6,4.5,7.5,3.3,4.5,0.6,4.0,8.0,0.7,479,8,38.2,1.7,,,,,,,,,9OTER,Other Territories,31
2016,630,817,1448,26,23,26,21,55,107,139,137,113,133,149,134,126,120,73,41,17,11.0,10.5,9.3,57.1,23.0,47.9,51.2,1.7,17.5,35.6,0.5,9.8,,0.2,,17.9,17.7,68.2,15.7,16.1,2.0,0.8,8.6,7.4,18.6,,19.7,7.8,4.7,11.7,7.3,6.0,3.8,4.9,10.4,0.2,846,12,58.4,1.4,20.6,21.5,23.3,6.1,1.9,0.1,0.4,18.0,9OTER,Other Territories,32
