yr,chld_enrld_prescl_prog_4_yr_olds_enrld_prescl_prescl_prog_num,chld_enrld_prescl_prog_5_yr_olds_enrld_prescl_prescl_prog_num,chld_enrld_prescl_prog_enrld_prescl_num,chld_enrld_prescl_prog_enrld_prescl_prog_longday_care_num,chld_enrld_prescl_prog_chld_enrld_more_thn_1_provr_type_num,chld_enrld_prescl_prog_tot_enrld_prescl_prog_num,chld_attnd_prescl_prog_less_15_hrs_num,chld_attnd_prescl_prog_15_hrs_pls_num,hier_edu_loan_prog_help_repay_taxpayers_help_repayment_num,p_post_scl_qualf_p_post_scl_qualification_pr100,p_post_scl_qualf_postgrad_degree_pr100,p_post_scl_qualf_grad_dip_grad_certificate_pr100,p_post_scl_qualf_bachelor_degree_pr100,p_post_scl_qualf_adv_dip_dip_pr100,p_post_scl_qualf_certificate_pr100,p_post_scl_qualf_inadequately_described_ns_pr100,field_study_natural_phys_sciences_pr100,field_study_info_technology_pr100,field_study_engineering_rel_technologies_pr100,field_study_architecture_bld_pr100,field_study_agri_environmental_rel_studies_pr100,field_study_hlth_pr100,field_study_edu_pr100,field_study_mgmt_commerce_pr100,field_study_society_culture_pr100,field_study_creative_arts_pr100,field_study_food_hospity_p_pr100,field_study_mixed_field_progmes_pr100,field_study_field_study_inadequately_described_ns_pr100,hi_yr_scl_completed_p15_yrs_ov_completed_yr_12_equivalent_pr100,hi_yr_scl_completed_p15_yrs_ov_completed_yr_11_equivalent_pr100,hi_yr_scl_completed_p15_yrs_ov_completed_yr_10_equivalent_pr100,hi_yr_scl_completed_p15_yrs_ov_completed_yr_9_equivalent_pr100,hi_yr_scl_completed_p15_yrs_ov_completed_yr_8_belo_pr100,hi_yr_scl_completed_p15_yrs_ov_no_scl_pr100,hi_yr_scl_completed_p15_yrs_ov_ns_pr100,occ_empy_p_managers_pr100,occ_empy_p_pros_pr100,occ_empy_p_tech_trades_wrkers_pr100,occ_empy_p_cmty_p_wrkers_pr100,occ_empy_p_clrc_admt_wrkers_pr100,occ_empy_p_sales_wrkers_pr100,occ_empy_p_mach_ops_drivers_pr100,occ_empy_p_labourers_pr100,occ_empy_p_inadequately_described_ns_pr100,yth_engagement_wrk_study_wrking_ft_studying_pt_pr100,yth_engagement_wrk_study_wrking_pt_studying_pt_pr100,yth_engagement_wrk_study_wrking_pt_studying_ft_pr100,yth_engagement_wrk_study_wrking_ft_no_studying_pr100,yth_engagement_wrk_study_studying_ft_no_wrking_pr100,yth_engagement_wrk_study_wrking_ft_studying_ft_pr100,yth_engagement_wrk_study_engaged_pr100,yth_engagement_wrk_study_tot_15_19_yrs_num,jobs_aus_num_jobs_f_num,jobs_aus_num_jobs_m_num,jobs_aus_num_jobs_p_num,jobs_aus_num_emply_jobs_agri_frsty_fish_num,jobs_aus_num_emply_jobs_mining_num,jobs_aus_num_emply_jobs_manu_num,jobs_aus_num_emply_jobs_utility_num,jobs_aus_num_emply_jobs_cons_num,jobs_aus_num_emply_jobs_whsl_trade_num,jobs_aus_num_emply_jobs_rtl_trade_num,jobs_aus_num_emply_jobs_accom_food_num,jobs_aus_num_emply_jobs_trns_pstl_whse_num,jobs_aus_num_emply_jobs_info_med_coms_num,jobs_aus_num_emply_jobs_fin_insur_num,jobs_aus_num_emply_jobs_rent_hiring_rlst_num,jobs_aus_num_emply_jobs_pro_sci_tech_num,jobs_aus_num_emply_jobs_admt_supp_num,jobs_aus_num_emply_jobs_pub_admt_safety_num,jobs_aus_num_emply_jobs_edu_training_num,jobs_aus_num_emply_jobs_hlth_care_soc_asst_num,jobs_aus_num_emply_jobs_arts_rec_num,jobs_aus_num_emply_jobs_oth_num,jobs_aus_num_emply_jobs_tot_num,lbr_frc_statistics_lbr_frc_num,lbr_frc_statistics_unemp_num,lbr_frc_statistics_unemp_rt_pr100,lbr_frc_statistics_ptic_rt_pr100,gcc_code16,gcc_name16,ogc_fid
2014,,,,,,,,,33177.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,925427.0,994282.0,1919708.0,67671.0,32337.0,100249.0,18366.0,105430.0,50221.0,170775.0,149391.0,63393.0,14752.0,52112.0,27904.0,76772.0,100354.0,130621.0,163616.0,201973.0,19488.0,52352.0,1662508.0,,,,,1RNSW,Rest of NSW,11
2015,,,,,,,,,36134.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,916669.0,993744.0,1910413.0,69282.0,30309.0,100095.0,17809.0,106721.0,51070.0,170360.0,154207.0,63210.0,13650.0,52107.0,30400.0,76628.0,107743.0,130741.0,153193.0,201397.0,20431.0,52052.0,1660487.0,,,,,1RNSW,Rest of NSW,12
2016,28882.0,9672.0,15548.0,20542.0,2400.0,38540.0,11203.0,26058.0,41266.0,58.3,2.6,1.5,10.3,8.2,23.6,12.1,1.9,1.4,16.2,6.2,3.3,10.2,8.3,15.4,10.0,2.5,5.2,0.3,19.3,38.0,7.2,29.8,9.0,5.6,0.4,10.0,13.0,18.1,14.8,11.9,12.4,9.6,7.1,11.4,1.6,2.9,1.5,20.5,6.7,42.8,0.4,76.7,159525.0,920711.0,991989.0,1912698.0,68614.0,27773.0,98156.0,16319.0,107307.0,50762.0,165191.0,155821.0,58124.0,13352.0,54689.0,31384.0,75740.0,111892.0,123842.0,151819.0,211816.0,20746.0,52026.0,1665037.0,1182577.0,78414.0,6.6,54.8,1RNSW,Rest of NSW,13
2017,29169.0,10363.0,15614.0,21314.0,2545.0,39456.0,7977.0,30160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1RNSW,Rest of NSW,14
2011,,,,,,,,,83246.0,57.6,4.7,2.3,16.6,8.8,15.0,10.3,3.4,4.0,14.1,5.1,1.3,8.5,7.0,19.4,10.9,4.2,4.9,0.1,16.9,54.6,11.5,12.9,5.5,6.4,1.2,7.9,12.5,24.1,13.4,8.9,15.3,9.7,5.9,8.0,2.3,1.9,1.1,20.7,4.7,54.4,0.4,85.1,253091.0,,,,,,,,,,,,,,,,,,,,,,,,2039385.0,111457.0,5.5,62.5,2GMEL,Greater Melbourne,15
2012,,,,,,,,,86215.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1598482.0,1726665.0,3325151.0,20332.0,4562.0,230643.0,18647.0,157928.0,157007.0,299967.0,201573.0,103219.0,68098.0,146429.0,50076.0,252600.0,294543.0,139827.0,254064.0,299139.0,64232.0,85473.0,2986957.0,,,,,2GMEL,Greater Melbourne,16
2013,,,,,,,,,90941.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1627940.0,1745113.0,3373053.0,21273.0,4921.0,227761.0,18329.0,160106.0,158816.0,301780.0,207988.0,105526.0,69183.0,145957.0,50589.0,250602.0,297605.0,153187.0,257086.0,311626.0,64949.0,86398.0,3034680.0,,,,,2GMEL,Greater Melbourne,17
2014,,,,,,,,,94191.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650982.0,1757497.0,3408479.0,20903.0,4855.0,223038.0,21883.0,164707.0,161019.0,308512.0,224617.0,108756.0,68754.0,146428.0,51932.0,255120.0,291513.0,150272.0,262949.0,320912.0,65022.0,93142.0,3069124.0,,,,,2GMEL,Greater Melbourne,18
2015,,,,,,,,,101394.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1689191.0,1787966.0,3477164.0,22475.0,3737.0,223944.0,22877.0,169497.0,163723.0,309712.0,231322.0,107684.0,66665.0,154815.0,56502.0,262531.0,308800.0,160578.0,272105.0,329839.0,67651.0,93228.0,3140872.0,,,,,2GMEL,Greater Melbourne,19
2016,50869.0,17580.0,32940.0,31020.0,4533.0,68449.0,11643.0,53224.0,113839.0,61.4,6.4,2.6,18.5,9.5,15.3,9.2,3.6,4.4,13.2,5.3,1.3,8.9,7.1,20.5,12.0,4.5,4.7,0.3,14.6,59.4,10.2,11.4,4.9,5.3,1.3,7.5,13.2,25.0,12.6,10.2,13.9,9.7,5.6,8.1,1.7,1.2,1.1,21.8,3.1,56.9,0.3,85.9,269015.0,1726295.0,1829385.0,3555686.0,27259.0,3185.0,222509.0,22296.0,168086.0,164353.0,308700.0,245768.0,107687.0,70927.0,161577.0,60353.0,271405.0,313762.0,142986.0,281773.0,335886.0,69267.0,96810.0,3202938.0,2269118.0,153625.0,6.8,61.9,2GMEL,Greater Melbourne,20
2017,53461.0,18836.0,33570.0,33638.0,5178.0,72290.0,11429.0,57131.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2GMEL,Greater Melbourne,21
2011,,,,,,,,,17159.0,51.6,1.6,1.8,9.1,7.2,20.7,11.1,1.8,1.4,15.9,6.6,4.1,11.0,9.1,12.3,9.6,2.4,6.0,0.1,19.8,35.6,16.9,20.4,9.7,8.5,0.5,8.6,15.2,16.7,15.4,10.3,11.7,9.7,6.9,12.3,2.0,2.9,1.3,22.0,8.2,43.5,0.5,80.6,91749.0,,,,,,,,,,,,,,,,,,,,,,,,632879.0,32692.0,5.2,58.2,2RVIC,Rest of Vic.,22
2012,,,,,,,,,17537.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,514632.0,551757.0,1066387.0,48474.0,6934.0,74864.0,10137.0,54382.0,28640.0,96233.0,65638.0,32881.0,9060.0,29133.0,12473.0,41311.0,61799.0,54564.0,87514.0,108782.0,17076.0,23870.0,908441.0,,,,,2RVIC,Rest of Vic.,23
2013,,,,,,,,,18599.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,517486.0,549926.0,1067420.0,47939.0,6397.0,72734.0,10540.0,55748.0,29039.0,96005.0,66507.0,32455.0,8625.0,29756.0,12529.0,37513.0,59021.0,60329.0,88451.0,113928.0,17307.0,24100.0,912038.0,,,,,2RVIC,Rest of Vic.,24
2014,,,,,,,,,19136.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,520729.0,549659.0,1070388.0,49550.0,6425.0,72198.0,9786.0,56304.0,28714.0,97623.0,69931.0,33611.0,8263.0,29383.0,12583.0,40505.0,56640.0,62409.0,88272.0,115454.0,16747.0,24354.0,916621.0,,,,,2RVIC,Rest of Vic.,25
2015,,,,,,,,,20697.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,528924.0,552067.0,1080987.0,51007.0,5747.0,72385.0,10859.0,57780.0,28971.0,97038.0,73365.0,33829.0,7885.0,30626.0,13400.0,39758.0,60236.0,66035.0,87977.0,118831.0,17591.0,25018.0,931484.0,,,,,2RVIC,Rest of Vic.,26
2016,14609.0,7194.0,11822.0,8522.0,1476.0,21833.0,5483.0,15216.0,23453.0,57.2,2.2,2.1,10.2,8.5,22.0,12.2,1.9,1.3,14.7,6.5,4.0,11.0,9.1,12.4,10.7,2.5,5.6,0.3,20.2,38.9,16.0,19.0,8.5,6.7,0.5,10.4,14.6,17.4,14.8,11.7,11.3,9.7,6.5,12.4,1.7,2.1,1.2,23.0,6.2,44.0,0.5,79.2,86967.0,529986.0,547155.0,1077136.0,48788.0,5471.0,69421.0,9922.0,56475.0,29623.0,94228.0,74605.0,33242.0,7739.0,32506.0,13099.0,38215.0,62047.0,57977.0,93034.0,121649.0,17128.0,25327.0,929146.0,657809.0,39226.0,6.0,56.1,2RVIC,Rest of Vic.,27
2017,14919.0,7423.0,11603.0,9115.0,1651.0,22373.0,4391.0,16796.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2RVIC,Rest of Vic.,28
2011,,,,,,,,,43905.0,56.0,3.9,1.8,14.5,8.0,18.1,9.7,2.9,3.0,15.8,6.0,1.5,9.4,7.2,18.8,10.8,3.4,4.9,0.2,16.1,52.8,7.5,21.8,4.5,5.2,0.5,7.5,11.6,22.2,13.5,9.6,16.2,9.4,6.4,9.2,1.8,1.6,1.3,22.3,8.8,41.9,0.5,78.1,143337.0,,,,,,,,,,,,,,,,,,,,,,,,1073479.0,62863.0,5.9,65.0,3GBRI,Greater Brisbane,29
2012,,,,,,,,,46210.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840818.0,932350.0,1773161.0,19414.0,15563.0,116725.0,14983.0,112788.0,66180.0,152717.0,115934.0,67736.0,18865.0,63213.0,30004.0,124157.0,151241.0,91625.0,134190.0,175205.0,26522.0,50966.0,1611919.0,,,,,3GBRI,Greater Brisbane,30
2013,,,,,,,,,47288.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840500.0,943489.0,1783987.0,18768.0,18182.0,119274.0,15034.0,113868.0,67360.0,152182.0,115892.0,73157.0,17943.0,60506.0,31333.0,124187.0,151632.0,90285.0,137139.0,176778.0,27846.0,52497.0,1626676.0,,,,,3GBRI,Greater Brisbane,31
2014,,,,,,,,,46979.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,843894.0,934956.0,1778848.0,18467.0,17700.0,111213.0,15463.0,112833.0,68864.0,151461.0,120632.0,72303.0,18448.0,60332.0,32291.0,126309.0,150510.0,92733.0,137326.0,178259.0,27940.0,53034.0,1623378.0,,,,,3GBRI,Greater Brisbane,32
2015,,,,,,,,,50517.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,866192.0,953056.0,1819249.0,17868.0,15496.0,109038.0,14812.0,121541.0,69437.0,153019.0,126650.0,70882.0,18752.0,62675.0,34321.0,130776.0,158214.0,96659.0,143247.0,186610.0,28504.0,55960.0,1666059.0,,,,,3GBRI,Greater Brisbane,33
2016,28321.0,3050.0,8520.0,21736.0,1141.0,31363.0,2711.0,27741.0,55978.0,60.7,4.9,2.1,15.9,9.2,19.3,9.3,2.9,3.1,14.7,5.7,1.4,9.8,7.2,19.9,11.8,3.6,4.8,0.3,14.7,56.9,7.0,19.6,4.1,4.2,0.6,7.7,11.8,22.9,12.9,10.9,14.8,9.3,6.3,9.4,1.6,1.1,1.4,23.2,6.2,45.4,0.4,79.3,146581.0,873765.0,953495.0,1827259.0,18680.0,13793.0,107161.0,13809.0,111520.0,68540.0,151816.0,130680.0,65478.0,19668.0,64122.0,35177.0,129887.0,159132.0,95092.0,149337.0,189511.0,27856.0,57783.0,1668836.0,1159418.0,85640.0,7.4,63.5,3GBRI,Greater Brisbane,34
2017,29146.0,3179.0,8550.0,22488.0,1245.0,32271.0,4377.0,26711.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3GBRI,Greater Brisbane,35
2013,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9OTER,Other Territories,108
2011,,,,,,,,,29669.0,52.6,1.7,1.1,9.2,7.1,21.5,12.0,1.7,1.4,17.7,7.2,2.5,9.2,7.7,14.5,8.5,2.3,6.3,0.1,20.8,40.9,9.0,27.6,6.1,6.6,0.4,9.5,12.5,15.6,16.3,10.3,13.2,10.2,8.3,11.9,1.8,2.2,1.4,20.3,12.0,35.2,0.6,73.5,150045.0,,,,,,,,,,,,,,,,,,,,,,,,1092786.0,67956.0,6.2,60.9,3RQLD,Rest of Qld,36
2012,,,,,,,,,31871.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,914559.0,1039787.0,1954352.0,78256.0,48253.0,103405.0,16681.0,147229.0,54812.0,181136.0,152428.0,64639.0,16169.0,50264.0,40468.0,85650.0,125974.0,90433.0,129054.0,166826.0,27612.0,54500.0,1711790.0,,,,,3RQLD,Rest of Qld,37
2013,,,,,,,,,33218.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,908572.0,1043680.0,1952248.0,75978.0,49526.0,102384.0,17051.0,150972.0,54321.0,181694.0,152803.0,68200.0,16315.0,49978.0,40775.0,84752.0,124784.0,86800.0,130979.0,169985.0,29552.0,55280.0,1716705.0,,,,,3RQLD,Rest of Qld,38
2014,,,,,,,,,32743.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,909868.0,1026910.0,1936779.0,74966.0,47371.0,97929.0,16807.0,143981.0,52827.0,178454.0,157563.0,65668.0,14558.0,50122.0,40648.0,88595.0,125765.0,93440.0,130355.0,176692.0,29329.0,57225.0,1708385.0,,,,,3RQLD,Rest of Qld,39
2015,,,,,,,,,35331.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,914004.0,1016895.0,1930898.0,76849.0,43648.0,92729.0,15637.0,144862.0,53674.0,176702.0,158122.0,64568.0,14963.0,52700.0,41629.0,86151.0,130679.0,91352.0,135345.0,182170.0,29616.0,57694.0,1710268.0,,,,,3RQLD,Rest of Qld,40
2016,28696.0,3339.0,9749.0,21197.0,958.0,31978.0,3416.0,27412.0,39279.0,57.6,2.3,1.4,10.3,8.3,23.1,12.1,1.7,1.3,16.7,6.8,2.4,9.8,7.8,15.2,9.7,2.4,6.2,0.3,19.7,44.6,8.5,25.6,5.5,5.3,0.4,10.2,12.4,16.7,15.7,11.8,12.5,10.2,7.6,11.6,1.6,1.4,1.5,21.3,8.4,38.6,0.5,73.2,149284.0,904500.0,996658.0,1901157.0,75600.0,37802.0,88437.0,14766.0,131779.0,53315.0,168815.0,159196.0,60928.0,15426.0,53917.0,40821.0,81130.0,131065.0,89411.0,138379.0,184645.0,29207.0,58922.0,1681777.0,1148561.0,89036.0,7.8,58.8,3RQLD,Rest of Qld,41
2017,28911.0,3391.0,9623.0,21615.0,1012.0,32282.0,4828.0,26113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3RQLD,Rest of Qld,42
2011,,,,,,,,,21693.0,53.7,3.3,1.7,13.2,7.8,18.1,9.6,3.2,2.5,16.1,4.9,1.7,11.0,7.2,17.2,11.6,3.1,5.1,0.2,16.3,47.1,17.5,16.0,5.4,6.0,0.9,7.2,11.1,21.6,14.0,10.7,15.4,9.9,5.8,9.9,1.6,1.7,1.4,22.1,6.4,47.2,0.3,81.0,80320.0,,,,,,,,,,,,,,,,,,,,,,,,612227.0,35404.0,5.8,60.7,4GADE,Greater Adelaide,43
2012,,,,,,,,,22280.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,462271.0,491157.0,953425.0,8661.0,6357.0,67257.0,7754.0,43241.0,34430.0,91814.0,62799.0,27726.0,10990.0,32880.0,12698.0,50695.0,76973.0,61435.0,76305.0,103641.0,15613.0,27261.0,851769.0,,,,,4GADE,Greater Adelaide,44
2013,,,,,,,,,23428.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,464093.0,494966.0,959059.0,8574.0,7761.0,68285.0,7276.0,46270.0,34058.0,91699.0,60609.0,27194.0,11137.0,33173.0,12567.0,48942.0,74722.0,64074.0,82520.0,108081.0,15256.0,27441.0,860117.0,,,,,4GADE,Greater Adelaide,45
