yr,est_p_inc_emply_inc_num,est_p_inc_emply_inc_med_age_yrs,est_p_inc_tot_emply_inc_aud,est_p_inc_med_emply_inc_aud,est_p_inc_avg_emply_inc_aud,est_p_inc_emply_inc_mn_src_inc_pr100,est_p_inc_own_unincorportd_bsns_inc_num,est_p_inc_own_unincorportd_bsns_inc_med_age_yrs,est_p_inc_tot_own_unincorportd_bsns_inc_aud,est_p_inc_med_own_unincorportd_bsns_inc_aud,est_p_inc_avg_own_unincorportd_bsns_inc_aud,est_p_inc_own_unincorportd_bsns_inc_mn_src_inc_pr100,est_p_inc_investment_inc_num,est_p_inc_investment_inc_med_age_yrs,est_p_inc_tot_investment_inc_aud,est_p_inc_med_investment_inc_aud,est_p_inc_avg_investment_inc_aud,est_p_inc_investment_inc_mn_src_inc_pr100,est_p_inc_super_annuity_inc_num,est_p_inc_super_annuity_inc_med_age_yrs,est_p_inc_tot_super_annuity_inc_aud,est_p_inc_med_super_annuity_inc_aud,est_p_inc_avg_super_annuity_inc_aud,est_p_inc_super_annuity_inc_mn_src_inc_pr100,est_p_inc_tot_inc_excl_gov_pnsn_num,est_p_inc_tot_inc_excl_gov_pnsn_alwn_med_age_yrs,est_p_inc_tot_inc_excl_gov_pnsn_aud,est_p_inc_med_tot_inc_excl_gov_pnsn_aud,est_p_inc_avg_tot_inc_excl_gov_pnsn_aud,est_p_inc_tot_inc_excl_gov_pnsn_alwn_p80_p20_ratio,est_p_inc_tot_inc_excl_gov_pnsn_alwn_p80_p50_ratio,est_p_inc_tot_inc_excl_gov_pnsn_alwn_p20_p50_ratio,est_p_inc_tot_inc_excl_gov_pnsn_alwn_p10_p50_ratio,est_p_inc_tot_inc_excl_gov_pnsn_alwn_gini_coefficient_num,est_p_inc_tot_inc_excl_gov_pnsn_alwn_inc_share_top_1_pr100,est_p_inc_tot_inc_excl_gov_pnsn_alwn_inc_share_top_5_pr100,est_p_inc_tot_inc_excl_gov_pnsn_alwn_inc_share_top_10_pr100,est_p_inc_tot_inc_excl_gov_pnsn_alwn_loest_quartile_pr100,est_p_inc_tot_inc_excl_gov_pnsn_alwn_second_quartile_pr100,est_p_inc_tot_inc_excl_gov_pnsn_alwn_third_quartile_pr100,est_p_inc_tot_inc_excl_gov_pnsn_alwn_hi_quartile_pr100,gcg_rptd_by_taxpayers_gcg_p_num,gcg_rptd_by_taxpayers_gcg_amount_audm,gcg_rptd_by_taxpayers_gcg_med_aud,gcg_rptd_by_taxpayers_gcg_avg_aud,slct_gov_pnsn_alwn_age_pension_centrelink_num,slct_gov_pnsn_alwn_carer_payment_num,slct_gov_pnsn_alwn_carer_alloance_num,slct_gov_pnsn_alwn_dsblty_supp_pension_num,slct_gov_pnsn_alwn_newstart_alloance_num,slct_gov_pnsn_alwn_prnting_payment_single_num,slct_gov_pnsn_alwn_prnting_payment_prtred_num,slct_gov_pnsn_alwn_yth_alloance_full_time_studts_aprtc_num,slct_gov_pnsn_alwn_yth_alloance_oth_num,slct_gov_pnsn_alwn_fam_tax_bft_num,slct_gov_pnsn_alwn_fam_tax_bft_b_num,slct_gov_pnsn_alwn_commonwealth_rent_asst_num,tot_p_inc_wk_p_ov_15_yrs_p_earn_aud1_aud499wk_pr100,tot_p_inc_wk_p_ov_15_yrs_p_earn_aud500_aud999wk_pr100,tot_p_inc_wk_p_ov_15_yrs_p_earn_aud1000_aud1999wk_pr100,tot_p_inc_wk_p_ov_15_yrs_p_earn_aud2000_aud2999wk_pr100,tot_p_inc_wk_p_ov_15_yrs_p_earn_aud3000_plswk_pr100,tot_p_inc_wk_p_ov_15_yrs_p_earn_nil_inc_pr100,tot_p_inc_wk_p_ov_15_yrs_p_negative_inc_pr100,eq_t_hs_inc_fam_lone_grp_hslds_med_eq_t_hs_inc_wk_aud,gcc_code16,gcc_name16,ogc_fid
2013,1156847.0,41.0,56529378828.0,40907.0,48865.0,74.0,244254.0,51.0,4037244096.0,7320.0,16529.0,8.8,931251.0,49.0,6308012051.0,376.0,6774.0,14.3,48619.0,58.0,1243572872.0,18192.0,25578.0,1.9,1327632.0,45.0,66616998489.0,40288.0,50177.0,5.29,1.92,0.36,0.14,0.47600000000000003,7.5,20.1,31.4,28.2,27.0,23.7,21.1,80111.0,2017.0,1759.0,25177.0,,,,,,,,,,203085.0,171133.0,,,,,,,,,,1RNSW,Rest of NSW,11
2014,1176556.0,41.0,58776655983.0,41890.0,49957.0,75.0,244980.0,51.0,4363926950.0,8157.0,17813.0,8.8,942069.0,49.0,6616675865.0,388.0,7024.0,14.2,49532.0,58.0,1323757896.0,18860.0,26725.0,2.0,1344589.0,45.0,69427670096.0,41241.0,51635.0,5.24,1.91,0.36,0.14,0.478,7.8,20.5,31.7,28.1,27.1,23.8,21.0,87950.0,2746.2,2854.0,31224.0,,,,,,,,,,200089.0,169854.0,,,,,,,,,,1RNSW,Rest of NSW,12
2015,1221237.0,41.0,62563810290.0,43003.0,51230.0,74.0,249736.0,51.0,5193712042.0,9595.0,20797.0,9.3,974307.0,49.0,6769437138.0,354.0,6948.0,14.2,51397.0,58.0,1455468456.0,19574.0,28318.0,2.0,1376020.0,45.0,72836696235.0,42445.0,52933.0,5.19,1.9,0.37,0.14,0.47200000000000003,7.4,20.1,31.4,27.8,27.1,24.0,21.1,93486.0,3136.1,3626.0,33546.0,377767.0,38935.0,,135414.0,102437.0,40917.0,,21020.0,18397.0,196530.0,168013.0,,,,,,,,,,1RNSW,Rest of NSW,13
2016,1224129.0,41.0,64722089517.0,44656.0,52872.0,74.0,246740.0,51.0,5525396019.0,10400.0,22394.0,9.3,980468.0,49.0,6719735311.0,293.0,6854.0,14.1,50575.0,59.0,1407362066.0,19655.0,27827.0,2.0,1388501.0,45.0,75127561974.0,43557.0,54107.0,5.23,1.89,0.36,0.14,0.47100000000000003,7.3,19.9,31.2,27.4,27.0,24.3,21.3,91984.0,3386.4,2854.0,36815.0,385018.0,39606.0,,130459.0,98929.0,40444.0,,20816.0,16291.0,192704.0,156743.0,,32.9,25.2,19.1,3.7,1.8,6.7,0.5,740.0,1RNSW,Rest of NSW,14
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378580.0,39452.0,87222.0,126164.0,97400.0,39620.0,10220.0,18154.0,16268.0,185780.0,145934.0,199452.0,,,,,,,,,1RNSW,Rest of NSW,15
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374598.0,40589.0,88255.0,125699.0,97107.0,37888.0,8826.0,16566.0,15402.0,177916.0,140190.0,194378.0,,,,,,,,,1RNSW,Rest of NSW,16
2011,1986394.0,37.0,101187442835.0,42184.0,50940.0,78.0,296347.0,44.0,7318086471.0,10569.0,24694.0,6.9,1529058.0,43.0,15066670286.0,522.0,9854.0,13.5,62407.0,59.0,1323510611.0,13934.0,21208.0,1.2,2244406.0,40.0,122811440989.0,42124.0,54719.0,4.96,1.85,0.37,0.17,0.48200000000000004,10.2,23.5,34.3,23.7,24.7,25.9,25.7,144833.0,5942.9,3100.0,41033.0,,,,,,,,,,,,,,,,,,,,805.0,2GMEL,Greater Melbourne,17
2012,2044031.0,38.0,108104352485.0,43856.0,52888.0,78.0,300969.0,44.0,7625542434.0,10834.0,25337.0,6.8,1597864.0,43.0,15960739025.0,491.0,9989.0,13.6,63158.0,59.0,1434675634.0,15317.0,22716.0,1.2,2291260.0,41.0,130470993784.0,43954.0,56943.0,4.79,1.83,0.38,0.18,0.478,9.9,23.3,34.1,24.0,24.9,26.1,25.0,123246.0,4276.4,2468.0,34698.0,,,,,,,,,,,,,,,,,,,,,2GMEL,Greater Melbourne,18
2013,2113111.0,38.0,115021726360.0,44999.0,54432.0,78.0,309853.0,44.0,7776781809.0,11043.0,25098.0,6.9,1636039.0,43.0,16482421949.0,427.0,10075.0,13.5,64486.0,59.0,1467963437.0,14191.0,22764.0,1.2,2332057.0,41.0,137182819159.0,45455.0,58825.0,4.59,1.83,0.4,0.19,0.474,9.7,22.9,33.8,24.2,25.1,26.0,24.7,140436.0,4918.9,1805.0,35026.0,,,,,,,,,,279099.0,240530.0,,,,,,,,,,2GMEL,Greater Melbourne,19
2014,2184620.0,38.0,121932218480.0,45961.0,55814.0,78.0,319681.0,44.0,8306001467.0,11689.0,25982.0,7.1,1692907.0,43.0,17859489408.0,381.0,10550.0,13.5,64739.0,59.0,1530785384.0,14733.0,23645.0,1.2,2395900.0,41.0,144873818735.0,46363.0,60467.0,4.61,1.83,0.4,0.19,0.478,10.3,23.5,34.3,24.4,25.1,26.0,24.6,160557.0,7053.6,2813.0,43932.0,,,,,,,,,,278482.0,240783.0,,,,,,,,,,2GMEL,Greater Melbourne,20
2015,2304322.0,38.0,132662145052.0,47335.0,57571.0,77.0,335822.0,43.0,8998814924.0,12171.0,26796.0,7.3,1790442.0,43.0,18298294475.0,327.0,10220.0,13.9,66132.0,59.0,1673903117.0,15836.0,25312.0,1.2,2487136.0,41.0,153666988752.0,47515.0,61785.0,4.64,1.83,0.39,0.18,0.478,9.9,23.2,34.1,24.4,25.0,26.0,24.7,177977.0,9440.4,3509.0,53043.0,410024.0,44926.0,,130733.0,127903.0,35640.0,,58963.0,13696.0,275153.0,239866.0,,,,,,,,,,2GMEL,Greater Melbourne,21
2016,2351764.0,38.0,140101404891.0,48878.0,59573.0,77.0,351882.0,43.0,9439316567.0,12262.0,26825.0,7.4,1856407.0,43.0,18868576652.0,271.0,10164.0,13.8,64802.0,59.0,1664647698.0,16081.0,25688.0,1.2,2559275.0,41.0,161839266614.0,48572.0,63236.0,4.76,1.85,0.39,0.18,0.48100000000000004,10.0,23.2,34.1,24.2,24.9,25.8,25.1,177152.0,10760.8,2842.0,60743.0,415776.0,45798.0,,125292.0,119753.0,35390.0,,57684.0,11834.0,272681.0,223311.0,,26.6,22.5,23.0,5.1,3.4,10.6,0.6,923.0,2GMEL,Greater Melbourne,22
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,403638.0,45904.0,117488.0,120328.0,117724.0,34811.0,17311.0,51968.0,11971.0,266953.0,208441.0,208437.0,,,,,,,,,2GMEL,Greater Melbourne,23
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396421.0,47477.0,119929.0,119265.0,113175.0,32951.0,15245.0,47220.0,10502.0,255832.0,200429.0,199735.0,,,,,,,,,2GMEL,Greater Melbourne,24
2011,611869.0,40.0,25675694128.0,36449.0,41963.0,73.0,145601.0,51.0,2580242689.0,8268.0,17721.0,9.9,485665.0,49.0,3717195327.0,546.0,7654.0,14.9,24646.0,58.0,473519771.0,12366.0,19213.0,1.5,731742.0,44.0,32078487733.0,36339.0,43839.0,5.52,1.84,0.33,0.13,0.47100000000000003,7.3,19.8,30.9,28.5,27.4,25.1,19.1,51351.0,1342.8,2635.0,26150.0,,,,,,,,,,,,,,,,,,,,628.0,2RVIC,Rest of Vic.,25
2012,624610.0,41.0,27346048347.0,37962.0,43781.0,73.0,146298.0,51.0,2514093369.0,8186.0,17185.0,9.6,502980.0,49.0,3960059602.0,523.0,7873.0,15.1,25137.0,58.0,524040872.0,13372.0,20847.0,1.5,740120.0,45.0,33830607659.0,37977.0,45710.0,5.19,1.83,0.35,0.14,0.465,7.1,19.7,30.7,28.5,27.8,25.3,18.4,40443.0,1203.0,2761.0,29745.0,,,,,,,,,,,,,,,,,,,,,2RVIC,Rest of Vic.,26
2013,635001.0,41.0,28738365890.0,39090.0,45257.0,73.0,146395.0,51.0,2182445445.0,6665.0,14908.0,9.2,506269.0,49.0,4008307909.0,464.0,7917.0,15.4,25167.0,58.0,515799381.0,12469.0,20495.0,1.5,741737.0,45.0,34754693884.0,38850.0,46856.0,5.11,1.83,0.36,0.14,0.46799999999999997,7.0,19.7,30.7,29.3,27.9,25.0,17.9,49281.0,1082.3,1837.0,21961.0,,,,,,,,,,114093.0,92048.0,,,,,,,,,,2RVIC,Rest of Vic.,27
2014,648913.0,41.0,30114193003.0,40044.0,46407.0,73.0,147611.0,51.0,2744086594.0,8601.0,18590.0,9.7,517561.0,49.0,4173264661.0,402.0,8063.0,15.0,25587.0,58.0,547531717.0,13209.0,21399.0,1.5,752560.0,45.0,36701703312.0,40209.0,48769.0,5.01,1.83,0.37,0.15,0.46399999999999997,7.2,19.8,30.8,28.8,27.8,25.1,18.3,53086.0,1489.7,2529.0,28063.0,,,,,,,,,,112235.0,91742.0,,,,,,,,,,2RVIC,Rest of Vic.,28
2015,673551.0,41.0,32223441324.0,41269.0,47841.0,73.0,149389.0,52.0,2833720935.0,9445.0,18969.0,10.0,540874.0,49.0,4324906219.0,343.0,7996.0,15.1,26195.0,58.0,609989891.0,14053.0,23287.0,1.6,770163.0,45.0,38597339577.0,41382.0,50116.0,4.93,1.83,0.37,0.15,0.461,7.0,19.6,30.6,28.3,28.0,25.3,18.4,55499.0,1550.7,2776.0,27941.0,198920.0,19545.0,,68403.0,52434.0,19182.0,,12741.0,8017.0,110016.0,90618.0,,,,,,,,,,2RVIC,Rest of Vic.,29
2016,676938.0,41.0,33426766693.0,42664.0,49379.0,73.0,147539.0,52.0,2520617315.0,8599.0,17084.0,9.6,548861.0,49.0,4350979317.0,280.0,7927.0,15.4,25791.0,58.0,585180367.0,14272.0,22689.0,1.6,777744.0,45.0,39431120699.0,42019.0,50699.0,5.11,1.83,0.36,0.14,0.467,7.0,19.6,30.7,28.5,27.8,25.3,18.4,54363.0,1851.4,2135.0,34057.0,204037.0,19802.0,,66301.0,53153.0,19173.0,,13068.0,7531.0,107691.0,85487.0,,33.0,25.9,18.9,2.9,1.6,6.6,0.5,722.0,2RVIC,Rest of Vic.,30
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201109.0,19963.0,46203.0,64922.0,53063.0,18843.0,5541.0,11587.0,7504.0,104431.0,79924.0,94107.0,,,,,,,,,2RVIC,Rest of Vic.,31
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200804.0,20831.0,47468.0,65533.0,53434.0,18304.0,4751.0,10454.0,7163.0,100461.0,77021.0,92214.0,,,,,,,,,2RVIC,Rest of Vic.,32
2011,1058337.0,37.0,53491676958.0,42808.0,50543.0,81.0,144603.0,45.0,3317242967.0,9186.0,22940.0,6.2,751862.0,43.0,5026939071.0,285.0,6686.0,11.1,36398.0,58.0,803401469.0,16570.0,22073.0,1.5,1166181.0,40.0,61516358316.0,42332.0,52750.0,4.88,1.81,0.37,0.16,0.467,8.9,21.8,32.4,23.6,24.5,26.7,25.1,72753.0,1938.4,2115.0,26644.0,,,,,,,,,,,,,,,,,,,,833.0,3GBRI,Greater Brisbane,33
2012,1091885.0,37.0,58878054652.0,44999.0,53923.0,81.0,144421.0,45.0,3516277200.0,9703.0,24347.0,6.0,786722.0,43.0,5476847182.0,272.0,6962.0,10.9,36817.0,58.0,870304493.0,17496.0,23639.0,1.5,1188611.0,40.0,67267005033.0,44887.0,56593.0,4.71,1.81,0.38,0.18,0.465,8.8,21.9,32.6,23.3,24.5,26.5,25.6,60548.0,1685.6,1832.0,27839.0,,,,,,,,,,,,,,,,,,,,,3GBRI,Greater Brisbane,34
2013,1121418.0,37.0,62677650849.0,46370.0,55891.0,81.0,144879.0,45.0,3540167501.0,9930.0,24435.0,6.0,797864.0,44.0,5921626042.0,241.0,7422.0,11.1,37636.0,58.0,921728655.0,17365.0,24491.0,1.5,1203042.0,41.0,71049970214.0,46652.0,59059.0,4.51,1.8,0.4,0.19,0.46299999999999997,8.8,21.9,32.7,23.3,24.6,26.6,25.5,72628.0,1819.6,1494.0,25054.0,,,,,,,,,,153976.0,132181.0,,,,,,,,,,3GBRI,Greater Brisbane,35
2014,1146079.0,37.0,65667119799.0,47455.0,57297.0,81.0,146907.0,45.0,3712922086.0,10298.0,25274.0,6.0,816718.0,44.0,6388677562.0,218.0,7822.0,11.2,38147.0,58.0,972688458.0,18134.0,25498.0,1.5,1224934.0,41.0,74215136853.0,47690.0,60587.0,4.54,1.81,0.4,0.19,0.465,8.9,22.0,32.9,23.4,24.6,26.5,25.5,81697.0,2513.4,2620.0,30765.0,,,,,,,,,,152634.0,132266.0,,,,,,,,,,3GBRI,Greater Brisbane,36
2015,1201483.0,37.0,70388176117.0,48600.0,58584.0,80.0,152943.0,45.0,3910723626.0,10505.0,25570.0,6.2,858095.0,43.0,6644324368.0,188.0,7743.0,11.6,39764.0,58.0,1072811363.0,19151.0,26979.0,1.6,1268080.0,41.0,78085350376.0,48625.0,61578.0,4.53,1.81,0.4,0.18,0.465,8.8,21.9,32.7,23.4,24.7,26.6,25.3,89193.0,3425.3,3450.0,38404.0,194718.0,19162.0,,72797.0,67195.0,26898.0,,24906.0,12282.0,151153.0,132194.0,,,,,,,,,,3GBRI,Greater Brisbane,37
2016,1215444.0,37.0,72733163137.0,49942.0,59841.0,80.0,157944.0,44.0,4102947157.0,10674.0,25977.0,6.3,877343.0,43.0,6708525671.0,158.0,7646.0,11.6,39996.0,58.0,1058419115.0,19180.0,26463.0,1.6,1295187.0,41.0,80621255582.0,49482.0,62247.0,4.62,1.81,0.39,0.18,0.46399999999999997,8.7,21.6,32.5,23.4,24.7,26.6,25.2,87451.0,3142.5,2726.0,35934.0,200583.0,20265.0,,70290.0,66856.0,26959.0,,24831.0,11539.0,150811.0,124820.0,,26.5,23.9,24.1,5.1,3.1,8.8,0.5,932.0,3GBRI,Greater Brisbane,38
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198322.0,21021.0,52581.0,68398.0,67867.0,26971.0,8611.0,22363.0,11991.0,149129.0,119678.0,155077.0,,,,,,,,,3GBRI,Greater Brisbane,39
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198482.0,22265.0,54465.0,68958.0,68914.0,26140.0,7737.0,20586.0,11247.0,146256.0,117747.0,153395.0,,,,,,,,,3GBRI,Greater Brisbane,40
2011,1071647.0,38.0,48609873023.0,37903.0,45360.0,76.0,220884.0,48.0,3572309088.0,7715.0,16173.0,8.6,784381.0,46.0,5467247732.0,328.0,6970.0,12.9,38890.0,58.0,814727505.0,14791.0,20950.0,1.5,1230242.0,42.0,57583584464.0,37690.0,46807.0,5.37,1.9,0.35,0.14,0.479,7.6,20.3,31.7,26.8,27.1,24.4,21.7,80353.0,2204.2,2277.0,27432.0,,,,,,,,,,,,,,,,,,,,705.0,3RQLD,Rest of Qld,41
2012,1116744.0,38.0,54408427728.0,40093.0,48721.0,77.0,218994.0,49.0,3836325766.0,8226.0,17518.0,8.3,827673.0,46.0,6022616061.0,299.0,7277.0,12.6,39755.0,58.0,912803539.0,16115.0,22961.0,1.6,1258246.0,42.0,63914148083.0,40403.0,50796.0,5.18,1.92,0.37,0.16,0.475,7.3,20.1,31.6,26.3,26.7,24.1,22.8,64818.0,2227.5,2122.0,34366.0,,,,,,,,,,,,,,,,,,,,,3RQLD,Rest of Qld,42
